OBJECTNUMMER,ElementID,WKT_LNG_LAT,WKT_LAT_LNG,LNG,LAT
1,1,"LINESTRING(4.969756 52.355647,4.969934 52.355579,4.970221 52.355519,4.970612 52.355505,4.971239 52.355382,4.971606 52.355277,4.97239 52.355044,4.973194 52.354754,4.974017 52.3544,4.975633 52.353557,4.996788 52.342291,4.997486 52.341917,4.997655 52.3418,4.99994 52.340623,4.999983 52.340519,5.000096 52.340515,5.000217 52.340466,5.004957 52.337961,5.008599 52.336007,5.010152 52.335065,5.010864 52.334573,5.011807 52.333876,5.012375 52.333411,5.01255 52.333233,5.012678 52.332858,5.012649 52.33276,5.013161 52.332216,5.013386 52.332034,5.013986 52.331737,5.014007 52.331569,5.014274 52.331498,5.014511 52.331197,5.015216 52.330043,5.015582 52.32933,5.015938 52.3283,5.01619 52.327103,5.01625 52.326632,5.016302 52.325606,5.016133 52.325117,5.01617 52.325028,5.016414 52.324664,5.016456 52.324233,5.017169 52.321315,5.017298 52.320707,5.019304 52.309243,5.020094 52.304896,5.020027 52.304831,5.019937 52.304805,5.018509 52.304924)","LINESTRING(52.355647 4.969756,52.355579 4.969934,52.355519 4.970221,52.355505 4.970612,52.355382 4.971239,52.355277 4.971606,52.355044 4.97239,52.354754 4.973194,52.3544 4.974017,52.353557 4.975633,52.342291 4.996788,52.341917 4.997486,52.3418 4.997655,52.340623 4.99994,52.340519 4.999983,52.340515 5.000096,52.340466 5.000217,52.337961 5.004957,52.336007 5.008599,52.335065 5.010152,52.334573 5.010864,52.333876 5.011807,52.333411 5.012375,52.333233 5.01255,52.332858 5.012678,52.33276 5.012649,52.332216 5.013161,52.332034 5.013386,52.331737 5.013986,52.331569 5.014007,52.331498 5.014274,52.331197 5.014511,52.330043 5.015216,52.32933 5.015582,52.3283 5.015938,52.327103 5.01619,52.326632 5.01625,52.325606 5.016302,52.325117 5.016133,52.325028 5.01617,52.324664 5.016414,52.324233 5.016456,52.321315 5.017169,52.320707 5.017298,52.309243 5.019304,52.304896 5.020094,52.304831 5.020027,52.304805 5.019937,52.304924 5.018509)",4.994925,52.330226
2,2,"LINESTRING(4.748164 52.407466,4.748079 52.407288,4.748019 52.407108,4.748015 52.406888,4.747711 52.40599,4.747286 52.404738,4.747284 52.404633,4.747832 52.403398,4.747867 52.403263,4.747861 52.403094,4.747167 52.401124,4.746559 52.39929,4.74572 52.396998)","LINESTRING(52.407466 4.748164,52.407288 4.748079,52.407108 4.748019,52.406888 4.748015,52.40599 4.747711,52.404738 4.747286,52.404633 4.747284,52.403398 4.747832,52.403263 4.747867,52.403094 4.747861,52.401124 4.747167,52.39929 4.746559,52.396998 4.74572)",4.746942,52.402232
3,3,"LINESTRING(4.749585 52.412086,4.74933 52.41023,4.748464 52.407872,4.748164 52.407466)","LINESTRING(52.412086 4.749585,52.41023 4.74933,52.407872 4.748464,52.407466 4.748164)",4.7488745,52.409776
4,4,"LINESTRING(4.727775 52.330301,4.732677 52.333711,4.735319 52.335504,4.735575 52.335754,4.736292 52.336228,4.745882 52.342917,4.747483 52.344013,4.754502 52.348924,4.759441 52.352345,4.759479 52.352521,4.759475 52.352646,4.75901 52.353271,4.75895 52.353447,4.758976 52.353585,4.759369 52.354051)","LINESTRING(52.330301 4.727775,52.333711 4.732677,52.335504 4.735319,52.335754 4.735575,52.336228 4.736292,52.342917 4.745882,52.344013 4.747483,52.348924 4.754502,52.352345 4.759441,52.352521 4.759479,52.352646 4.759475,52.353271 4.75901,52.353447 4.75895,52.353585 4.758976,52.354051 4.759369)",4.743627,52.342176
5,5,"LINESTRING(4.762931 52.352633,4.762383 52.352143,4.762175 52.352111,4.761796 52.352175,4.760521 52.352431,4.760384 52.352418,4.760267 52.352377,4.75224 52.346771,4.750457 52.345552,4.746807 52.342984,4.743257 52.340528,4.742821 52.340206,4.742397 52.339928,4.739993 52.338247,4.739548 52.337967,4.738958 52.337523,4.73785 52.336769,4.736542 52.335813,4.735924 52.335413,4.73385 52.333943,4.729724 52.331066,4.728412 52.330193,4.727783 52.329744)","LINESTRING(52.352633 4.762931,52.352143 4.762383,52.352111 4.762175,52.352175 4.761796,52.352431 4.760521,52.352418 4.760384,52.352377 4.760267,52.346771 4.75224,52.345552 4.750457,52.342984 4.746807,52.340528 4.743257,52.340206 4.742821,52.339928 4.742397,52.338247 4.739993,52.337967 4.739548,52.337523 4.738958,52.336769 4.73785,52.335813 4.736542,52.335413 4.735924,52.333943 4.73385,52.331066 4.729724,52.330193 4.728412,52.329744 4.727783)",4.745357,52.3411885
6,6,"LINESTRING(4.765458 52.357698,4.757767 52.361135,4.756316 52.361331)","LINESTRING(52.357698 4.765458,52.361135 4.757767,52.361331 4.756316)",4.760887,52.3595145
7,7,"LINESTRING(4.765458 52.357698,4.763279 52.355841,4.76153 52.35438)","LINESTRING(52.357698 4.765458,52.355841 4.763279,52.35438 4.76153)",4.763494,52.356039
8,8,"LINESTRING(4.770512 52.381238,4.761968 52.381137,4.761753 52.381147,4.761565 52.38119,4.76047 52.381519,4.760307 52.381549,4.760118 52.381561,4.759923 52.381537,4.759784 52.381482,4.759464 52.381264)","LINESTRING(52.381238 4.770512,52.381137 4.761968,52.381147 4.761753,52.38119 4.761565,52.381519 4.76047,52.381549 4.760307,52.381561 4.760118,52.381537 4.759923,52.381482 4.759784,52.381264 4.759464)",4.764988,52.381349
9,9,"LINESTRING(4.770512 52.381238,4.770484 52.382006)","LINESTRING(52.381238 4.770512,52.382006 4.770484)",4.770498,52.381622
10,10,"LINESTRING(4.770683 52.376603,4.770512 52.381238)","LINESTRING(52.376603 4.770683,52.381238 4.770512)",4.7705975,52.3789205
11,11,"LINESTRING(4.771278 52.354525,4.770524 52.354275,4.767622 52.351389)","LINESTRING(52.354525 4.771278,52.354275 4.770524,52.351389 4.767622)",4.76945,52.352957
12,12,"LINESTRING(4.771278 52.354525,4.770634 52.355383,4.765458 52.357698)","LINESTRING(52.354525 4.771278,52.355383 4.770634,52.357698 4.765458)",4.768368,52.3561115
13,13,"LINESTRING(4.771251 52.374154,4.76385 52.368803)","LINESTRING(52.374154 4.771251,52.368803 4.76385)",4.7675505,52.3714785
14,14,"LINESTRING(4.771204 52.398609,4.769846 52.398949,4.767475 52.399389,4.765878 52.399607,4.761872 52.400122,4.76152 52.4002,4.761259 52.400283,4.760689 52.400507,4.760491 52.400621,4.760162 52.400859,4.759958 52.401072,4.759724 52.401383,4.759642 52.401561,4.759327 52.402613,4.759277 52.402664,4.759183 52.403024,4.759198 52.403106,4.758796 52.404361,4.758736 52.404486,4.758639 52.404832,4.758646 52.404934,4.758533 52.405279,4.758452 52.405431,4.758307 52.405602,4.758117 52.405782,4.757889 52.405939,4.757444 52.406154,4.757083 52.40627,4.756844 52.406325,4.748164 52.407466)","LINESTRING(52.398609 4.771204,52.398949 4.769846,52.399389 4.767475,52.399607 4.765878,52.400122 4.761872,52.4002 4.76152,52.400283 4.761259,52.400507 4.760689,52.400621 4.760491,52.400859 4.760162,52.401072 4.759958,52.401383 4.759724,52.401561 4.759642,52.402613 4.759327,52.402664 4.759277,52.403024 4.759183,52.403106 4.759198,52.404361 4.758796,52.404486 4.758736,52.404832 4.758639,52.404934 4.758646,52.405279 4.758533,52.405431 4.758452,52.405602 4.758307,52.405782 4.758117,52.405939 4.757889,52.406154 4.757444,52.40627 4.757083,52.406325 4.756844,52.407466 4.748164)",4.759684,52.4030375
15,15,"LINESTRING(4.771204 52.398609,4.770427 52.397148,4.769014 52.397108,4.769014 52.394577,4.767744 52.394522,4.765046 52.394528,4.764315 52.394444,4.76383 52.394328,4.761587 52.393698,4.760168 52.393547,4.75921 52.393565,4.755932 52.393495,4.755043 52.393413,4.75429 52.393109,4.753403 52.39261,4.752872 52.392151,4.751998 52.390007,4.751596 52.389701,4.751007 52.389432,4.750054 52.389307,4.748768 52.389203,4.74514 52.38901,4.74447 52.3889,4.743889 52.388668,4.743598 52.388281,4.743576 52.387769,4.744161 52.38695)","LINESTRING(52.398609 4.771204,52.397148 4.770427,52.397108 4.769014,52.394577 4.769014,52.394522 4.767744,52.394528 4.765046,52.394444 4.764315,52.394328 4.76383,52.393698 4.761587,52.393547 4.760168,52.393565 4.75921,52.393495 4.755932,52.393413 4.755043,52.393109 4.75429,52.39261 4.753403,52.392151 4.752872,52.390007 4.751998,52.389701 4.751596,52.389432 4.751007,52.389307 4.750054,52.389203 4.748768,52.38901 4.74514,52.3889 4.74447,52.388668 4.743889,52.388281 4.743598,52.387769 4.743576,52.38695 4.744161)",4.75739,52.3927795
16,16,"LINESTRING(4.778561 52.351141,4.772816 52.353441,4.772207 52.353664,4.771723 52.353933,4.771278 52.354525)","LINESTRING(52.351141 4.778561,52.353441 4.772816,52.353664 4.772207,52.353933 4.771723,52.354525 4.771278)",4.7749195,52.352833
17,17,"LINESTRING(4.778561 52.351141,4.775781 52.348529)","LINESTRING(52.351141 4.778561,52.348529 4.775781)",4.777171,52.349835
18,18,"LINESTRING(4.779969 52.369375,4.77567 52.366336,4.775201 52.365962,4.771922 52.363165,4.765458 52.357698)","LINESTRING(52.369375 4.779969,52.366336 4.77567,52.365962 4.775201,52.363165 4.771922,52.357698 4.765458)",4.7727135,52.3635365
19,19,"LINESTRING(4.780479 52.359442,4.778569 52.357674,4.777928 52.357335,4.776043 52.357325,4.773089 52.355126,4.771278 52.354525)","LINESTRING(52.359442 4.780479,52.357674 4.778569,52.357335 4.777928,52.357325 4.776043,52.355126 4.773089,52.354525 4.771278)",4.7758785,52.3569835
20,20,"LINESTRING(4.787166 52.421553,4.779131 52.421539)","LINESTRING(52.421553 4.787166,52.421539 4.779131)",4.7831485,52.421546
