,id,zipcode,service_area,geometry
0,18,1431,Aalsmeer,"POLYGON ((4.701389236832061 52.24075030677079, 4.70433696591653 52.24075030677079, 4.70433696591653 52.23894850496899, 4.701389236832061 52.23894850496899, 4.701389236832061 52.24075030677079))"
1,19,1431,Aalsmeer,"POLYGON ((4.701389236832061 52.242552108572596, 4.70433696591653 52.242552108572596, 4.70433696591653 52.24075030677079, 4.701389236832061 52.24075030677079, 4.701389236832061 52.242552108572596))"
2,20,1431,Aalsmeer,"POLYGON ((4.701389236832061 52.2443539103744, 4.70433696591653 52.2443539103744, 4.70433696591653 52.242552108572596, 4.701389236832061 52.242552108572596, 4.701389236832061 52.2443539103744))"
3,140,1431,Aalsmeer,"POLYGON ((4.70433696591653 52.23534490136538, 4.707284695000999 52.23534490136538, 4.707284695000999 52.233543099563576, 4.70433696591653 52.233543099563576, 4.70433696591653 52.23534490136538))"
4,141,1433,Aalsmeer,"POLYGON ((4.70433696591653 52.237146703167184, 4.707284695000999 52.237146703167184, 4.707284695000999 52.23534490136538, 4.70433696591653 52.23534490136538, 4.70433696591653 52.237146703167184))"
5,142,1433,Aalsmeer,"POLYGON ((4.70433696591653 52.23894850496899, 4.707284695000999 52.23894850496899, 4.707284695000999 52.237146703167184, 4.70433696591653 52.237146703167184, 4.70433696591653 52.23894850496899))"
6,143,1431,Aalsmeer,"POLYGON ((4.70433696591653 52.24075030677079, 4.707284695000999 52.24075030677079, 4.707284695000999 52.23894850496899, 4.70433696591653 52.23894850496899, 4.70433696591653 52.24075030677079))"
7,144,1431,Aalsmeer,"POLYGON ((4.70433696591653 52.242552108572596, 4.707284695000999 52.242552108572596, 4.707284695000999 52.24075030677079, 4.70433696591653 52.24075030677079, 4.70433696591653 52.242552108572596))"
8,145,1431,Aalsmeer,"POLYGON ((4.70433696591653 52.2443539103744, 4.707284695000999 52.2443539103744, 4.707284695000999 52.242552108572596, 4.70433696591653 52.242552108572596, 4.70433696591653 52.2443539103744))"
9,146,1431,Aalsmeer,"POLYGON ((4.70433696591653 52.246155712176204, 4.707284695000999 52.246155712176204, 4.707284695000999 52.2443539103744, 4.70433696591653 52.2443539103744, 4.70433696591653 52.246155712176204))"
10,147,1431,Aalsmeer,"POLYGON ((4.70433696591653 52.24795751397801, 4.707284695000999 52.24795751397801, 4.707284695000999 52.246155712176204, 4.70433696591653 52.246155712176204, 4.70433696591653 52.24795751397801))"
11,265,1431,Aalsmeer,"POLYGON ((4.707284695000999 52.23534490136538, 4.7102324240854685 52.23534490136538, 4.7102324240854685 52.233543099563576, 4.707284695000999 52.233543099563576, 4.707284695000999 52.23534490136538))"
12,266,1433,Aalsmeer,"POLYGON ((4.707284695000999 52.237146703167184, 4.7102324240854685 52.237146703167184, 4.7102324240854685 52.23534490136538, 4.707284695000999 52.23534490136538, 4.707284695000999 52.237146703167184))"
13,267,1433,Aalsmeer,"POLYGON ((4.707284695000999 52.23894850496899, 4.7102324240854685 52.23894850496899, 4.7102324240854685 52.237146703167184, 4.707284695000999 52.237146703167184, 4.707284695000999 52.23894850496899))"
14,268,1431,Aalsmeer,"POLYGON ((4.707284695000999 52.24075030677079, 4.7102324240854685 52.24075030677079, 4.7102324240854685 52.23894850496899, 4.707284695000999 52.23894850496899, 4.707284695000999 52.24075030677079))"
15,269,1431,Aalsmeer,"POLYGON ((4.707284695000999 52.242552108572596, 4.7102324240854685 52.242552108572596, 4.7102324240854685 52.24075030677079, 4.707284695000999 52.24075030677079, 4.707284695000999 52.242552108572596))"
16,270,1431,Aalsmeer,"POLYGON ((4.707284695000999 52.2443539103744, 4.7102324240854685 52.2443539103744, 4.7102324240854685 52.242552108572596, 4.707284695000999 52.242552108572596, 4.707284695000999 52.2443539103744))"
17,271,1431,Aalsmeer,"POLYGON ((4.707284695000999 52.246155712176204, 4.7102324240854685 52.246155712176204, 4.7102324240854685 52.2443539103744, 4.707284695000999 52.2443539103744, 4.707284695000999 52.246155712176204))"
18,272,1431,Aalsmeer,"POLYGON ((4.707284695000999 52.24795751397801, 4.7102324240854685 52.24795751397801, 4.7102324240854685 52.246155712176204, 4.707284695000999 52.246155712176204, 4.707284695000999 52.24795751397801))"
19,273,1431,Aalsmeer,"POLYGON ((4.707284695000999 52.24975931577981, 4.7102324240854685 52.24975931577981, 4.7102324240854685 52.24795751397801, 4.707284695000999 52.24795751397801, 4.707284695000999 52.24975931577981))"
20,274,1431,Aalsmeer,"POLYGON ((4.707284695000999 52.251561117581616, 4.7102324240854685 52.251561117581616, 4.7102324240854685 52.24975931577981, 4.707284695000999 52.24975931577981, 4.707284695000999 52.251561117581616))"
21,390,1433,Aalsmeer,"POLYGON ((4.7102324240854685 52.23534490136538, 4.7131801531699375 52.23534490136538, 4.7131801531699375 52.233543099563576, 4.7102324240854685 52.233543099563576, 4.7102324240854685 52.23534490136538))"
22,391,1433,Aalsmeer,"POLYGON ((4.7102324240854685 52.237146703167184, 4.7131801531699375 52.237146703167184, 4.7131801531699375 52.23534490136538, 4.7102324240854685 52.23534490136538, 4.7102324240854685 52.237146703167184))"
23,392,1433,Aalsmeer,"POLYGON ((4.7102324240854685 52.23894850496899, 4.7131801531699375 52.23894850496899, 4.7131801531699375 52.237146703167184, 4.7102324240854685 52.237146703167184, 4.7102324240854685 52.23894850496899))"
24,393,1433,Aalsmeer,"POLYGON ((4.7102324240854685 52.24075030677079, 4.7131801531699375 52.24075030677079, 4.7131801531699375 52.23894850496899, 4.7102324240854685 52.23894850496899, 4.7102324240854685 52.24075030677079))"
25,394,1431,Aalsmeer,"POLYGON ((4.7102324240854685 52.242552108572596, 4.7131801531699375 52.242552108572596, 4.7131801531699375 52.24075030677079, 4.7102324240854685 52.24075030677079, 4.7102324240854685 52.242552108572596))"
26,395,1431,Aalsmeer,"POLYGON ((4.7102324240854685 52.2443539103744, 4.7131801531699375 52.2443539103744, 4.7131801531699375 52.242552108572596, 4.7102324240854685 52.242552108572596, 4.7102324240854685 52.2443539103744))"
27,396,1431,Aalsmeer,"POLYGON ((4.7102324240854685 52.246155712176204, 4.7131801531699375 52.246155712176204, 4.7131801531699375 52.2443539103744, 4.7102324240854685 52.2443539103744, 4.7102324240854685 52.246155712176204))"
28,397,1431,Aalsmeer,"POLYGON ((4.7102324240854685 52.24795751397801, 4.7131801531699375 52.24795751397801, 4.7131801531699375 52.246155712176204, 4.7102324240854685 52.246155712176204, 4.7102324240854685 52.24795751397801))"
29,398,1431,Aalsmeer,"POLYGON ((4.7102324240854685 52.24975931577981, 4.7131801531699375 52.24975931577981, 4.7131801531699375 52.24795751397801, 4.7102324240854685 52.24795751397801, 4.7102324240854685 52.24975931577981))"
30,399,1431,Aalsmeer,"POLYGON ((4.7102324240854685 52.251561117581616, 4.7131801531699375 52.251561117581616, 4.7131801531699375 52.24975931577981, 4.7102324240854685 52.24975931577981, 4.7102324240854685 52.251561117581616))"
31,400,1431,Aalsmeer,"POLYGON ((4.7102324240854685 52.25336291938342, 4.7131801531699375 52.25336291938342, 4.7131801531699375 52.251561117581616, 4.7102324240854685 52.251561117581616, 4.7102324240854685 52.25336291938342))"
32,515,1433,Aalsmeer,"POLYGON ((4.7131801531699375 52.23534490136538, 4.716127882254407 52.23534490136538, 4.716127882254407 52.233543099563576, 4.7131801531699375 52.233543099563576, 4.7131801531699375 52.23534490136538))"
33,516,1433,Aalsmeer,"POLYGON ((4.7131801531699375 52.237146703167184, 4.716127882254407 52.237146703167184, 4.716127882254407 52.23534490136538, 4.7131801531699375 52.23534490136538, 4.7131801531699375 52.237146703167184))"
34,517,1433,Aalsmeer,"POLYGON ((4.7131801531699375 52.23894850496899, 4.716127882254407 52.23894850496899, 4.716127882254407 52.237146703167184, 4.7131801531699375 52.237146703167184, 4.7131801531699375 52.23894850496899))"
35,518,1433,Aalsmeer,"POLYGON ((4.7131801531699375 52.24075030677079, 4.716127882254407 52.24075030677079, 4.716127882254407 52.23894850496899, 4.7131801531699375 52.23894850496899, 4.7131801531699375 52.24075030677079))"
36,519,1431,Aalsmeer,"POLYGON ((4.7131801531699375 52.242552108572596, 4.716127882254407 52.242552108572596, 4.716127882254407 52.24075030677079, 4.7131801531699375 52.24075030677079, 4.7131801531699375 52.242552108572596))"
37,520,1431,Aalsmeer,"POLYGON ((4.7131801531699375 52.2443539103744, 4.716127882254407 52.2443539103744, 4.716127882254407 52.242552108572596, 4.7131801531699375 52.242552108572596, 4.7131801531699375 52.2443539103744))"
38,521,1431,Aalsmeer,"POLYGON ((4.7131801531699375 52.246155712176204, 4.716127882254407 52.246155712176204, 4.716127882254407 52.2443539103744, 4.7131801531699375 52.2443539103744, 4.7131801531699375 52.246155712176204))"
39,522,1431,Aalsmeer,"POLYGON ((4.7131801531699375 52.24795751397801, 4.716127882254407 52.24795751397801, 4.716127882254407 52.246155712176204, 4.7131801531699375 52.246155712176204, 4.7131801531699375 52.24795751397801))"
40,523,1431,Aalsmeer,"POLYGON ((4.7131801531699375 52.24975931577981, 4.716127882254407 52.24975931577981, 4.716127882254407 52.24795751397801, 4.7131801531699375 52.24795751397801, 4.7131801531699375 52.24975931577981))"
41,524,1431,Aalsmeer,"POLYGON ((4.7131801531699375 52.251561117581616, 4.716127882254407 52.251561117581616, 4.716127882254407 52.24975931577981, 4.7131801531699375 52.24975931577981, 4.7131801531699375 52.251561117581616))"
42,525,1431,Aalsmeer,"POLYGON ((4.7131801531699375 52.25336291938342, 4.716127882254407 52.25336291938342, 4.716127882254407 52.251561117581616, 4.7131801531699375 52.251561117581616, 4.7131801531699375 52.25336291938342))"
43,526,1431,Aalsmeer,"POLYGON ((4.7131801531699375 52.255164721185224, 4.716127882254407 52.255164721185224, 4.716127882254407 52.25336291938342, 4.7131801531699375 52.25336291938342, 4.7131801531699375 52.255164721185224))"
44,640,1433,Aalsmeer,"POLYGON ((4.716127882254407 52.23534490136538, 4.719075611338876 52.23534490136538, 4.719075611338876 52.233543099563576, 4.716127882254407 52.233543099563576, 4.716127882254407 52.23534490136538))"
45,641,1433,Aalsmeer,"POLYGON ((4.716127882254407 52.237146703167184, 4.719075611338876 52.237146703167184, 4.719075611338876 52.23534490136538, 4.716127882254407 52.23534490136538, 4.716127882254407 52.237146703167184))"
46,642,1433,Aalsmeer,"POLYGON ((4.716127882254407 52.23894850496899, 4.719075611338876 52.23894850496899, 4.719075611338876 52.237146703167184, 4.716127882254407 52.237146703167184, 4.716127882254407 52.23894850496899))"
47,643,1433,Aalsmeer,"POLYGON ((4.716127882254407 52.24075030677079, 4.719075611338876 52.24075030677079, 4.719075611338876 52.23894850496899, 4.716127882254407 52.23894850496899, 4.716127882254407 52.24075030677079))"
48,644,1433,Aalsmeer,"POLYGON ((4.716127882254407 52.242552108572596, 4.719075611338876 52.242552108572596, 4.719075611338876 52.24075030677079, 4.716127882254407 52.24075030677079, 4.716127882254407 52.242552108572596))"
49,645,1431,Aalsmeer,"POLYGON ((4.716127882254407 52.2443539103744, 4.719075611338876 52.2443539103744, 4.719075611338876 52.242552108572596, 4.716127882254407 52.242552108572596, 4.716127882254407 52.2443539103744))"
50,646,1431,Aalsmeer,"POLYGON ((4.716127882254407 52.246155712176204, 4.719075611338876 52.246155712176204, 4.719075611338876 52.2443539103744, 4.716127882254407 52.2443539103744, 4.716127882254407 52.246155712176204))"
51,647,1431,Aalsmeer,"POLYGON ((4.716127882254407 52.24795751397801, 4.719075611338876 52.24795751397801, 4.719075611338876 52.246155712176204, 4.716127882254407 52.246155712176204, 4.716127882254407 52.24795751397801))"
52,648,1431,Aalsmeer,"POLYGON ((4.716127882254407 52.24975931577981, 4.719075611338876 52.24975931577981, 4.719075611338876 52.24795751397801, 4.716127882254407 52.24795751397801, 4.716127882254407 52.24975931577981))"
53,649,1431,Aalsmeer,"POLYGON ((4.716127882254407 52.251561117581616, 4.719075611338876 52.251561117581616, 4.719075611338876 52.24975931577981, 4.716127882254407 52.24975931577981, 4.716127882254407 52.251561117581616))"
54,650,1431,Aalsmeer,"POLYGON ((4.716127882254407 52.25336291938342, 4.719075611338876 52.25336291938342, 4.719075611338876 52.251561117581616, 4.716127882254407 52.251561117581616, 4.716127882254407 52.25336291938342))"
55,651,1431,Aalsmeer,"POLYGON ((4.716127882254407 52.255164721185224, 4.719075611338876 52.255164721185224, 4.719075611338876 52.25336291938342, 4.716127882254407 52.25336291938342, 4.716127882254407 52.255164721185224))"
56,652,1431,Aalsmeer,"POLYGON ((4.716127882254407 52.25696652298703, 4.719075611338876 52.25696652298703, 4.719075611338876 52.255164721185224, 4.716127882254407 52.255164721185224, 4.716127882254407 52.25696652298703))"
57,764,1431,Aalsmeer,"POLYGON ((4.719075611338876 52.233543099563576, 4.722023340423345 52.233543099563576, 4.722023340423345 52.23174129776177, 4.719075611338876 52.23174129776177, 4.719075611338876 52.233543099563576))"
58,765,1433,Aalsmeer,"POLYGON ((4.719075611338876 52.23534490136538, 4.722023340423345 52.23534490136538, 4.722023340423345 52.233543099563576, 4.719075611338876 52.233543099563576, 4.719075611338876 52.23534490136538))"
59,766,1433,Aalsmeer,"POLYGON ((4.719075611338876 52.237146703167184, 4.722023340423345 52.237146703167184, 4.722023340423345 52.23534490136538, 4.719075611338876 52.23534490136538, 4.719075611338876 52.237146703167184))"
60,767,1433,Aalsmeer,"POLYGON ((4.719075611338876 52.23894850496899, 4.722023340423345 52.23894850496899, 4.722023340423345 52.237146703167184, 4.719075611338876 52.237146703167184, 4.719075611338876 52.23894850496899))"
61,768,1433,Aalsmeer,"POLYGON ((4.719075611338876 52.24075030677079, 4.722023340423345 52.24075030677079, 4.722023340423345 52.23894850496899, 4.719075611338876 52.23894850496899, 4.719075611338876 52.24075030677079))"
62,769,1433,Aalsmeer,"POLYGON ((4.719075611338876 52.242552108572596, 4.722023340423345 52.242552108572596, 4.722023340423345 52.24075030677079, 4.719075611338876 52.24075030677079, 4.719075611338876 52.242552108572596))"
63,770,1431,Aalsmeer,"POLYGON ((4.719075611338876 52.2443539103744, 4.722023340423345 52.2443539103744, 4.722023340423345 52.242552108572596, 4.719075611338876 52.242552108572596, 4.719075611338876 52.2443539103744))"
64,771,1431,Aalsmeer,"POLYGON ((4.719075611338876 52.246155712176204, 4.722023340423345 52.246155712176204, 4.722023340423345 52.2443539103744, 4.719075611338876 52.2443539103744, 4.719075611338876 52.246155712176204))"
65,772,1431,Aalsmeer,"POLYGON ((4.719075611338876 52.24795751397801, 4.722023340423345 52.24795751397801, 4.722023340423345 52.246155712176204, 4.719075611338876 52.246155712176204, 4.719075611338876 52.24795751397801))"
66,773,1431,Aalsmeer,"POLYGON ((4.719075611338876 52.24975931577981, 4.722023340423345 52.24975931577981, 4.722023340423345 52.24795751397801, 4.719075611338876 52.24795751397801, 4.719075611338876 52.24975931577981))"
67,774,1431,Aalsmeer,"POLYGON ((4.719075611338876 52.251561117581616, 4.722023340423345 52.251561117581616, 4.722023340423345 52.24975931577981, 4.719075611338876 52.24975931577981, 4.719075611338876 52.251561117581616))"
68,775,1431,Aalsmeer,"POLYGON ((4.719075611338876 52.25336291938342, 4.722023340423345 52.25336291938342, 4.722023340423345 52.251561117581616, 4.719075611338876 52.251561117581616, 4.719075611338876 52.25336291938342))"
69,776,1431,Aalsmeer,"POLYGON ((4.719075611338876 52.255164721185224, 4.722023340423345 52.255164721185224, 4.722023340423345 52.25336291938342, 4.719075611338876 52.25336291938342, 4.719075611338876 52.255164721185224))"
70,777,1431,Aalsmeer,"POLYGON ((4.719075611338876 52.25696652298703, 4.722023340423345 52.25696652298703, 4.722023340423345 52.255164721185224, 4.719075611338876 52.255164721185224, 4.719075611338876 52.25696652298703))"
71,778,1431,Aalsmeer,"POLYGON ((4.719075611338876 52.25876832478883, 4.722023340423345 52.25876832478883, 4.722023340423345 52.25696652298703, 4.719075611338876 52.25696652298703, 4.719075611338876 52.25876832478883))"
72,880,1431,Aalsmeer,"POLYGON ((4.722023340423345 52.21732688334734, 4.724971069507814 52.21732688334734, 4.724971069507814 52.215525081545536, 4.722023340423345 52.215525081545536, 4.722023340423345 52.21732688334734))"
73,882,1431,Aalsmeer,"POLYGON ((4.722023340423345 52.22093048695095, 4.724971069507814 52.22093048695095, 4.724971069507814 52.219128685149144, 4.722023340423345 52.219128685149144, 4.722023340423345 52.22093048695095))"
74,883,1433,Aalsmeer,"POLYGON ((4.722023340423345 52.22273228875275, 4.724971069507814 52.22273228875275, 4.724971069507814 52.22093048695095, 4.722023340423345 52.22093048695095, 4.722023340423345 52.22273228875275))"
75,884,1433,Aalsmeer,"POLYGON ((4.722023340423345 52.224534090554556, 4.724971069507814 52.224534090554556, 4.724971069507814 52.22273228875275, 4.722023340423345 52.22273228875275, 4.722023340423345 52.224534090554556))"
76,885,1433,Aalsmeer,"POLYGON ((4.722023340423345 52.22633589235636, 4.724971069507814 52.22633589235636, 4.724971069507814 52.224534090554556, 4.722023340423345 52.224534090554556, 4.722023340423345 52.22633589235636))"
77,889,1433,Aalsmeer,"POLYGON ((4.722023340423345 52.233543099563576, 4.724971069507814 52.233543099563576, 4.724971069507814 52.23174129776177, 4.722023340423345 52.23174129776177, 4.722023340423345 52.233543099563576))"
78,890,1433,Aalsmeer,"POLYGON ((4.722023340423345 52.23534490136538, 4.724971069507814 52.23534490136538, 4.724971069507814 52.233543099563576, 4.722023340423345 52.233543099563576, 4.722023340423345 52.23534490136538))"
79,891,1433,Aalsmeer,"POLYGON ((4.722023340423345 52.237146703167184, 4.724971069507814 52.237146703167184, 4.724971069507814 52.23534490136538, 4.722023340423345 52.23534490136538, 4.722023340423345 52.237146703167184))"
80,892,1433,Aalsmeer,"POLYGON ((4.722023340423345 52.23894850496899, 4.724971069507814 52.23894850496899, 4.724971069507814 52.237146703167184, 4.722023340423345 52.237146703167184, 4.722023340423345 52.23894850496899))"
81,893,1433,Aalsmeer,"POLYGON ((4.722023340423345 52.24075030677079, 4.724971069507814 52.24075030677079, 4.724971069507814 52.23894850496899, 4.722023340423345 52.23894850496899, 4.722023340423345 52.24075030677079))"
82,894,1433,Aalsmeer,"POLYGON ((4.722023340423345 52.242552108572596, 4.724971069507814 52.242552108572596, 4.724971069507814 52.24075030677079, 4.722023340423345 52.24075030677079, 4.722023340423345 52.242552108572596))"
83,895,1433,Aalsmeer,"POLYGON ((4.722023340423345 52.2443539103744, 4.724971069507814 52.2443539103744, 4.724971069507814 52.242552108572596, 4.722023340423345 52.242552108572596, 4.722023340423345 52.2443539103744))"
84,896,1431,Aalsmeer,"POLYGON ((4.722023340423345 52.246155712176204, 4.724971069507814 52.246155712176204, 4.724971069507814 52.2443539103744, 4.722023340423345 52.2443539103744, 4.722023340423345 52.246155712176204))"
85,897,1431,Aalsmeer,"POLYGON ((4.722023340423345 52.24795751397801, 4.724971069507814 52.24795751397801, 4.724971069507814 52.246155712176204, 4.722023340423345 52.246155712176204, 4.722023340423345 52.24795751397801))"
86,898,1431,Aalsmeer,"POLYGON ((4.722023340423345 52.24975931577981, 4.724971069507814 52.24975931577981, 4.724971069507814 52.24795751397801, 4.722023340423345 52.24795751397801, 4.722023340423345 52.24975931577981))"
87,899,1431,Aalsmeer,"POLYGON ((4.722023340423345 52.251561117581616, 4.724971069507814 52.251561117581616, 4.724971069507814 52.24975931577981, 4.722023340423345 52.24975931577981, 4.722023340423345 52.251561117581616))"
88,900,1431,Aalsmeer,"POLYGON ((4.722023340423345 52.25336291938342, 4.724971069507814 52.25336291938342, 4.724971069507814 52.251561117581616, 4.722023340423345 52.251561117581616, 4.722023340423345 52.25336291938342))"
89,901,1431,Aalsmeer,"POLYGON ((4.722023340423345 52.255164721185224, 4.724971069507814 52.255164721185224, 4.724971069507814 52.25336291938342, 4.722023340423345 52.25336291938342, 4.722023340423345 52.255164721185224))"
90,902,1431,Aalsmeer,"POLYGON ((4.722023340423345 52.25696652298703, 4.724971069507814 52.25696652298703, 4.724971069507814 52.255164721185224, 4.722023340423345 52.255164721185224, 4.722023340423345 52.25696652298703))"
91,903,1431,Aalsmeer,"POLYGON ((4.722023340423345 52.25876832478883, 4.724971069507814 52.25876832478883, 4.724971069507814 52.25696652298703, 4.722023340423345 52.25696652298703, 4.722023340423345 52.25876832478883))"
92,904,1431,Aalsmeer,"POLYGON ((4.722023340423345 52.260570126590636, 4.724971069507814 52.260570126590636, 4.724971069507814 52.25876832478883, 4.722023340423345 52.25876832478883, 4.722023340423345 52.260570126590636))"
93,1003,1431,Aalsmeer,"POLYGON ((4.724971069507814 52.21372327974373, 4.727918798592283 52.21372327974373, 4.727918798592283 52.21192147794193, 4.724971069507814 52.21192147794193, 4.724971069507814 52.21372327974373))"
94,1004,1431,Aalsmeer,"POLYGON ((4.724971069507814 52.215525081545536, 4.727918798592283 52.215525081545536, 4.727918798592283 52.21372327974373, 4.724971069507814 52.21372327974373, 4.724971069507814 52.215525081545536))"
95,1005,1424,Aalsmeer,"POLYGON ((4.724971069507814 52.21732688334734, 4.727918798592283 52.21732688334734, 4.727918798592283 52.215525081545536, 4.724971069507814 52.215525081545536, 4.724971069507814 52.21732688334734))"
96,1006,1424,Aalsmeer,"POLYGON ((4.724971069507814 52.219128685149144, 4.727918798592283 52.219128685149144, 4.727918798592283 52.21732688334734, 4.724971069507814 52.21732688334734, 4.724971069507814 52.219128685149144))"
97,1007,1433,Aalsmeer,"POLYGON ((4.724971069507814 52.22093048695095, 4.727918798592283 52.22093048695095, 4.727918798592283 52.219128685149144, 4.724971069507814 52.219128685149144, 4.724971069507814 52.22093048695095))"
98,1008,1433,Aalsmeer,"POLYGON ((4.724971069507814 52.22273228875275, 4.727918798592283 52.22273228875275, 4.727918798592283 52.22093048695095, 4.724971069507814 52.22093048695095, 4.724971069507814 52.22273228875275))"
99,1009,1433,Aalsmeer,"POLYGON ((4.724971069507814 52.224534090554556, 4.727918798592283 52.224534090554556, 4.727918798592283 52.22273228875275, 4.724971069507814 52.22273228875275, 4.724971069507814 52.224534090554556))"
100,1010,1433,Aalsmeer,"POLYGON ((4.724971069507814 52.22633589235636, 4.727918798592283 52.22633589235636, 4.727918798592283 52.224534090554556, 4.724971069507814 52.224534090554556, 4.724971069507814 52.22633589235636))"
101,1011,1433,Aalsmeer,"POLYGON ((4.724971069507814 52.228137694158164, 4.727918798592283 52.228137694158164, 4.727918798592283 52.22633589235636, 4.724971069507814 52.22633589235636, 4.724971069507814 52.228137694158164))"
102,1012,1433,Aalsmeer,"POLYGON ((4.724971069507814 52.22993949595997, 4.727918798592283 52.22993949595997, 4.727918798592283 52.228137694158164, 4.724971069507814 52.228137694158164, 4.724971069507814 52.22993949595997))"
103,1013,1433,Aalsmeer,"POLYGON ((4.724971069507814 52.23174129776177, 4.727918798592283 52.23174129776177, 4.727918798592283 52.22993949595997, 4.724971069507814 52.22993949595997, 4.724971069507814 52.23174129776177))"
104,1014,1433,Aalsmeer,"POLYGON ((4.724971069507814 52.233543099563576, 4.727918798592283 52.233543099563576, 4.727918798592283 52.23174129776177, 4.724971069507814 52.23174129776177, 4.724971069507814 52.233543099563576))"
