,Date,Hour,grid_id,has_tree,avg_height,avg_diameter,avg_year,Fraxinus,Salix,Alnus,Quercus,Tilia,Acer,Populus,Betula,Prunus,Platanus,Malus,Robinia,Crataegus,Ulmus,Carpinus,Overig,Onbekend
0,2022-02-21,12,49435,True,21.5,,1970.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2023-11-02,17,42216,True,12.3,,1959.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2,2022-11-17,2,34292,True,7.938,0.212,1116.259,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,0.0
3,2017-09-13,15,39511,True,10.5,,2008.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,2023-07-05,11,13809,True,13.5,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2023-07-05,11,18663,True,7.5,0.15,2010.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2009-05-26,6,29205,True,11.656,0.432,1791.476,0.0,0.0,0.0,0.0,0.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,2022-02-18,17,46254,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,2022-02-20,12,19700,True,13.625,0.214,1815.688,1.0,5.0,3.0,17.0,1.0,2.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,6.0,2.0,0.0
9,2013-02-02,15,27814,True,14.588,,1995.057,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
10,2007-01-20,10,33598,True,9.667,0.15,2011.182,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
11,2020-02-10,16,12570,True,9.5,0.3,1669.417,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
12,2011-07-12,23,48362,True,7.5,,2002.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
13,2020-12-27,0,40806,True,17.975,,1969.7,0.0,0.0,1.0,0.0,24.0,7.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
14,2022-02-18,18,50119,True,8.5,,1995.61,3.0,0.0,2.0,2.0,2.0,11.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,5.0,1.0,8.0,0.0
15,2022-02-21,9,47629,True,13.658,0.342,1979.737,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0
16,2017-09-13,12,13110,True,21.5,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2022-02-18,21,31599,True,9.013,0.365,1516.231,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,2.0,8.0,4.0,0.0,12.0,1.0,0.0,4.0,0.0
18,2021-03-11,10,42503,True,12.75,0.281,1927.359,5.0,0.0,3.0,7.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
19,2009-05-26,7,22388,True,11.688,,1951.786,20.0,0.0,15.0,2.0,2.0,3.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,1.0,3.0,0.0
20,2022-02-18,16,34005,True,10.829,0.325,1819.861,18.0,0.0,7.0,1.0,17.0,4.0,3.0,0.0,2.0,2.0,0.0,1.0,43.0,9.0,0.0,8.0,0.0
21,2020-02-09,16,16988,True,21.5,,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2023-07-05,12,48030,True,12.294,0.25,1874.971,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,0.0,1.0,0.0
23,2023-07-05,12,10144,True,8.618,,1846.842,3.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0
24,2007-06-09,14,21372,True,12.545,,1978.091,3.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25,2012-04-28,15,15592,True,11.714,0.232,1801.667,4.0,2.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26,2018-01-18,17,11568,True,10.364,0.329,1983.75,7.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0
27,2022-02-18,19,33302,True,12.449,,1945.881,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0
28,2022-02-19,12,32615,True,10.956,,1986.2,7.0,4.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,10.0,0.0
29,2007-06-08,20,12182,True,8.0,0.15,2015.333,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2022-02-18,17,54201,True,11.324,0.362,1774.526,1.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
31,2009-09-03,15,38754,True,7.5,0.15,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32,2022-02-18,16,48413,True,11.471,,1886.667,10.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
33,2021-08-07,19,22050,True,3.0,,331.667,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2023-07-11,14,55906,True,11.1,0.32,1417.429,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
35,2023-07-05,12,34729,True,12.059,,1878.294,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0
36,2023-07-05,12,45957,True,4.5,0.15,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0
37,2022-02-18,15,16302,True,12.649,,1860.34,0.0,0.0,1.0,0.0,0.0,1.0,0.0,19.0,3.0,0.0,0.0,2.0,1.0,7.0,2.0,11.0,0.0
38,2006-07-22,18,17291,True,4.071,0.243,2004.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0
39,2017-08-03,19,40858,True,13.333,,1977.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0
40,2022-01-31,13,36138,True,8.279,,1970.698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0
41,2023-11-02,19,34299,True,9.167,0.25,1996.5,0.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2008-07-12,9,28894,True,12.144,,1946.756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
43,2023-07-27,9,16199,True,21.083,,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2022-02-18,16,17309,True,12.855,0.506,1955.85,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,11.0,2.0,0.0
45,2022-02-19,13,48412,True,11.087,0.15,1978.926,1.0,0.0,22.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
46,2019-03-14,13,31244,True,12.75,,1981.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2023-09-13,15,18323,True,13.5,0.15,1995.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2022-02-18,16,32628,True,14.125,0.455,1973.182,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
49,2021-03-11,14,24786,True,11.932,,1967.318,2.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50,2023-07-05,11,11511,True,10.385,,2007.308,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2023-07-05,11,31272,True,19.0,0.567,1977.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0
52,2019-02-09,14,38095,True,12.894,0.346,1955.593,0.0,0.0,0.0,1.0,0.0,54.0,0.0,0.0,0.0,10.0,0.0,5.0,7.0,1.0,0.0,2.0,1.0
53,2022-07-14,18,22397,True,10.457,,1922.027,12.0,1.0,1.0,3.0,0.0,8.0,2.0,0.0,1.0,0.0,5.0,1.0,8.0,0.0,12.0,19.0,0.0
54,2020-12-26,15,41575,True,12.0,,1996.5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2022-04-07,17,11514,True,7.909,,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0
56,2022-01-02,14,41875,True,9.333,0.25,1916.263,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,26.0,0.0
57,2020-08-24,8,29906,True,12.518,0.282,1919.017,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,37.0,0.0,9.0,0.0,7.0,0.0
58,2009-09-12,1,48768,True,9.176,,1971.5,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
59,2010-12-09,10,45355,True,16.812,,1963.812,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
60,2019-01-13,19,41485,True,10.107,0.606,2000.429,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,17.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
61,2023-07-05,11,34072,True,10.125,,1789.0,1.0,11.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2023-07-05,11,38475,True,11.75,,1976.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0
63,2017-09-13,9,39817,True,15.562,0.421,1994.542,0.0,2.0,0.0,0.0,0.0,2.0,12.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0
64,2017-09-13,10,29168,True,4.6,0.163,2008.188,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
65,2022-02-20,13,16338,True,12.125,0.444,1987.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0
66,2020-12-27,12,48091,True,11.4,,1884.522,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
67,2007-01-20,11,10134,True,3.346,,2001.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
68,2022-03-02,9,35708,True,14.889,0.447,1854.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,10.0,0.0
69,2022-06-02,18,7741,True,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2022-02-18,17,30568,True,9.091,,1994.609,2.0,1.0,0.0,10.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
71,2022-02-18,17,32324,True,5.232,,1796.537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,23.0,0.0,0.0,0.0,6.0,0.0
72,2020-02-10,0,8079,True,13.816,0.384,1993.895,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2012-01-05,20,15979,True,4.227,,181.455,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2022-02-18,23,39129,True,5.129,0.29,1980.697,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,14.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0
75,2007-03-18,14,35699,True,4.5,,2002.958,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0
76,2019-12-08,10,27883,True,7.5,,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2023-07-05,11,22793,True,8.777,,1170.735,6.0,29.0,17.0,4.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
78,2023-07-05,11,20646,True,21.5,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2023-07-17,9,30529,True,7.9,0.157,2002.756,1.0,1.0,7.0,0.0,0.0,0.0,0.0,23.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2007-01-25,12,35319,True,12.387,0.436,1808.412,9.0,1.0,0.0,0.0,15.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
81,2022-02-18,20,42266,True,12.938,,1994.212,0.0,0.0,5.0,0.0,0.0,13.0,6.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
