Date,Hour,grid_id,has_tree,avg_height,avg_diameter,avg_year,Fraxinus,Salix,Alnus,Quercus,Tilia,Acer,Populus,Betula,Prunus,Platanus,Malus,Robinia,Crataegus,Ulmus,Carpinus,Overig,Onbekend
2022-02-21,12,10312,True,11.559,0.271,1969.3,0.0,0.0,2.0,0.0,26.0,0.0,0.0,3.0,4.0,23.0,7.0,0.0,0.0,28.0,0.0,23.0,4.0
2017-09-13,15,10479,True,12.225,0.518,1986.417,6.0,3.0,1.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
2023-11-02,17,10141,True,13.371,0.42,1911.22,3.0,0.0,1.0,0.0,15.0,5.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,11.0,0.0
2022-11-17,2,8090,True,8.897,0.35,1979.137,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0
2023-07-05,11,9992,True,13.56,0.543,1888.98,0.0,6.0,0.0,2.0,25.0,2.0,2.0,3.0,6.0,4.0,0.0,0.0,5.0,27.0,0.0,17.0,0.0
2023-07-05,11,12412,True,14.836,0.0,1842.72,18.0,2.0,26.0,15.0,72.0,2.0,12.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0
2009-05-26,6,8797,True,11.7,0.406,1889.628,39.0,7.0,26.0,24.0,24.0,31.0,11.0,3.0,5.0,11.0,1.0,7.0,8.0,25.0,0.0,109.0,0.0
2022-02-18,17,5928,True,16.015,0.0,1817.796,60.0,1.0,21.0,13.0,1.0,103.0,16.0,7.0,1.0,0.0,4.0,0.0,4.0,12.0,26.0,11.0,0.0
2022-02-20,12,10860,True,10.05,0.0,2008.182,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0
2013-02-02,15,9814,True,12.572,0.425,1961.506,1.0,1.0,10.0,7.0,61.0,88.0,26.0,4.0,11.0,0.0,0.0,24.0,3.0,29.0,2.0,3.0,1.0
2007-01-20,10,10514,True,13.307,0.25,1613.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,8.0,0.0,0.0,1.0,55.0,0.0,0.0,0.0
2011-07-12,23,12583,True,13.995,0.0,1963.318,4.0,3.0,8.0,5.0,20.0,13.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,43.0,0.0
2020-02-10,16,7628,True,11.441,0.0,1958.988,23.0,6.0,3.0,5.0,0.0,17.0,5.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,11.0,0.0
2020-12-27,0,8761,True,5.625,0.238,1996.75,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-02-18,18,13267,True,10.992,0.0,1988.123,0.0,0.0,0.0,0.0,36.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0
2022-02-21,9,10982,True,16.167,0.517,1975.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-13,12,11682,True,7.5,0.153,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0
2022-02-18,21,9976,True,10.164,0.75,1682.171,3.0,4.0,5.0,3.0,2.0,0.0,11.0,1.0,7.0,1.0,0.0,0.0,0.0,25.0,0.0,2.0,12.0
2021-03-11,10,7787,True,11.833,0.325,1790.356,0.0,0.0,0.0,4.0,16.0,7.0,2.0,0.0,2.0,1.0,0.0,7.0,1.0,1.0,0.0,32.0,0.0
2020-02-09,16,3186,True,12.578,0.0,1491.865,10.0,0.0,9.0,19.0,11.0,32.0,3.0,9.0,4.0,23.0,7.0,19.0,2.0,29.0,7.0,16.0,0.0
2023-07-05,12,11902,True,12.221,0.0,1826.481,29.0,3.0,11.0,0.0,17.0,29.0,5.0,2.0,3.0,0.0,17.0,6.0,6.0,2.0,1.0,27.0,0.0
