Date,Hour,grid_id,has_building,Gemiddeld Bouwjaar,Gewogen Gemiddeld Bouwjaar,Voor 1860,1860-1919,1920-1939,1940-1969,1970-1985,1986-2001,Na 2001,LON,LAT,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
2018-01-18,14,8463,True,1850.0,1850.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.900360950033722,52.36597553199617,4.8,87.191284,2.85,-0.7951858,0.6,0.6,0.0,0.0,53.0,998.6,998.8453,52.5,37.0,32.0,0.0,0.042272925,0.110470295,27.103,42.236763,286.9909,288.89835,52.199997,5.3,5.05,6.95,10.9,0.733,0.723,0.693,0.643
2022-02-19,14,3459,True,1982.273,1976.842,0.0,0.0,0.0,7.0,0.0,0.0,4.0,4.78245178665496,52.35876832478895,6.787,63.48225,0.33699998,0.24512768,0.1,0.1,0.0,0.0,51.0,1010.6,1010.6,100.0,26.0,100.0,100.0,0.119210355,0.36135554,30.652895,45.231243,236.49654,236.68935,57.239998,7.487,7.237,7.637,9.887,0.706,0.713,0.701,0.679
2019-02-07,16,10578,True,2001.0,2001.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.950472344469697,52.34795751397813,7.463,74.707436,3.263,0.7206893,0.2,0.2,0.0,0.0,51.0,1005.5,1005.98956,13.5,7.0,12.0,0.0,0.06553968,0.2621321,35.50155,54.654827,239.53453,240.39565,75.96,7.413,5.413,5.513,10.662999,0.697,0.686,0.614,0.596
2020-02-09,14,4967,True,1959.545,1956.596,0.0,0.0,0.0,10.0,0.0,0.0,1.0,4.8178245356685885,52.37318273920339,11.137,74.0591,6.687,2.4755335,0.0,0.0,0.0,0.0,3.0,991.4,991.28076,100.0,100.0,48.0,99.0,0.10173116,0.34418786,53.620667,83.29158,207.59721,208.66966,99.36,8.537001,6.337,7.437,10.287001,0.677,0.679,0.686,0.653
2023-04-01,15,6218,True,1922.0,1910.097,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.84730182651328,52.37498454100519,10.1675,90.71612,8.7175,7.3572054,0.6,0.6,0.0,0.0,53.0,1001.5,1001.01697,100.0,100.0,100.0,100.0,0.051357266,0.115480304,16.965895,24.933735,17.281584,17.650223,35.28,10.5675,9.3175,8.0675,9.117499,0.752,0.738,0.698,0.671
2009-09-18,18,5964,True,1999.0,2004.898,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.841406368344342,52.367777333797974,16.2305,78.21164,12.4305,15.199646,0.0,0.0,0.0,0.0,0.0,1017.1,1016.74,0.0,0.0,0.0,0.0,0.038230516,0.4023521,12.287555,24.20314,58.1726,67.24899,17.64,17.0805,15.7305,15.580501,13.4805,0.472,0.461,0.44,0.553
2023-01-04,14,7070,True,1991.5,1979.903,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.867935930104563,52.333543099563705,11.7915,86.09327,9.5415,6.5830116,0.0,0.0,0.0,0.0,2.0,1011.3,1010.4515,63.9,14.0,40.0,91.0,0.055748586,0.19265687,34.942265,54.580082,242.37901,242.928,64.799995,10.2915,7.8415003,7.5915003,11.591499,0.734,0.734,0.687,0.611
2021-03-11,12,6953,True,1932.4,1932.084,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.864988201020093,52.34795751397813,9.4545,70.982574,4.4545,1.4361949,0.3,0.3,0.0,0.0,51.0,992.9,992.3002,100.0,100.0,100.0,94.0,0.09786027,0.34414327,45.860096,70.46075,247.86446,248.41597,94.32,8.7045,5.9545,6.5045004,9.2045,0.68,0.663,0.677,0.683
2022-02-24,11,7860,True,1963.0,1980.135,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.885622304611378,52.40561517163585,9.580501,67.37168,3.8305,2.9930305,0.0,0.0,0.0,0.0,3.0,1003.6,1003.35767,100.0,61.0,92.0,0.0,0.15984103,0.3902576,35.191723,51.308525,210.76265,210.34317,65.520004,8.1305,7.0805,7.5805,9.7305,0.702,0.716,0.722,0.686
2012-11-25,13,8816,True,2007.0,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.90920413728713,52.32633589235648,9.9935,63.100113,3.2935,1.9405384,0.0,0.0,0.0,0.0,0.0,1004.8,1004.9215,10.799999,12.0,0.0,0.0,0.13317063,0.4537313,44.52954,67.189926,230.90614,231.96341,77.76,9.0435,7.8435,9.1935,12.2435,0.662,0.658,0.657,0.641
2020-06-18,20,13432,True,2016.0,2015.831,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.018270113412484,52.31011967614025,18.7,72.001976,13.55,19.521112,0.0,0.0,0.0,0.0,1.0,1012.4,1012.63727,41.7,7.0,9.0,100.0,0.021800974,0.60408676,2.1897945,1.609969,279.46225,296.56497,3.96,19.8,17.95,14.05,10.25,0.555,0.406,0.507,0.645
2018-01-18,10,7202,True,1932.5,1932.599,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.870883659189032,52.346155712176326,5.035,80.94734,2.0349998,-6.8981657,0.0,0.0,0.0,0.0,3.0,986.4,985.43134,82.5,91.0,1.0,0.0,0.054904617,0.16703355,69.55736,105.45604,295.76926,297.00235,135.35999,5.1349998,4.935,6.8849998,10.835,0.732,0.721,0.693,0.643
2022-02-19,17,12954,True,1900.0,1900.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.006479197074608,52.349759315779934,4.7805004,88.12048,2.9805,-1.0927315,1.5,1.5,0.0,0.0,61.0,1006.9,1006.7764,100.0,21.0,100.0,100.0,0.026497018,0.102317035,29.175552,44.740047,195.75124,198.28925,51.839996,6.2805004,7.0305004,7.4805,9.830501,0.726,0.714,0.698,0.664
2022-11-02,19,8729,True,1996.0,1997.954,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.90625640820266,52.394804360825034,11.330501,69.64273,5.9805,6.6278963,0.0,0.0,0.0,0.0,1.0,1015.4,1015.15607,33.600002,0.0,6.0,100.0,0.057871602,0.4079852,25.364037,42.25977,186.5197,188.8203,44.639996,12.080501,12.9805,13.3805,13.6305,0.637,0.598,0.515,0.605
2023-03-13,15,8219,True,1850.0,1850.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.894465491864784,52.37678634280699,13.528501,62.392437,6.4785004,6.4756184,0.0,0.0,0.0,0.0,0.0,990.8,989.6202,3.6,2.0,3.0,0.0,0.20296149,0.58379984,42.2567,65.42597,224.9999,225.6687,86.399994,12.0785,6.6285,5.9285,9.4285,0.7,0.703,0.682,0.667
2020-06-29,21,2955,True,1994.538,1994.47,0.0,0.0,0.0,0.0,0.0,13.0,0.0,4.770660870317084,52.35156111758174,15.5935,72.38486,10.643499,11.896969,0.0,0.0,0.0,0.0,3.0,1008.3,1008.41943,100.0,100.0,100.0,0.0,0.06499726,0.48968077,26.739542,41.750687,223.36346,225.69861,50.039997,17.543499,18.293499,15.4435,10.643499,0.4,0.415,0.498,0.652
2018-03-01,18,10684,True,1986.0,1986.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.953420073554166,52.31372327974385,-3.076,33.788975,-16.825998,-11.915702,0.0,0.0,0.0,0.0,3.0,1006.4,1006.14526,85.200005,0.0,97.0,90.0,0.084211834,0.32336283,35.397354,53.71726,85.33323,86.926735,61.56,-2.226,0.474,4.274,9.124,0.626,0.635,0.666,0.644
2022-02-20,21,6836,True,1900.667,1899.769,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.862040471935624,52.36237192839256,10.0045,89.78808,8.4045,1.2799139,2.6,2.6,0.0,0.0,63.0,987.9,987.3044,100.0,100.0,100.0,0.0,0.02429988,0.1256491,56.958553,88.30206,233.99916,234.62517,106.56,8.4545,7.0545,7.6045003,9.804501,0.763,0.755,0.708,0.68
2020-02-10,20,10308,True,1999.0,1999.653,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.944576886300758,52.31192147794205,5.5305004,83.64251,2.9805,-1.0406733,2.0,2.0,0.0,0.0,61.0,990.6,990.4786,100.0,97.0,57.0,41.0,0.024521999,0.14842784,33.96233,52.300453,265.13556,266.44833,73.799995,5.9305,7.0805,7.4805,10.2805,0.758,0.735,0.683,0.627
2018-01-18,10,3951,True,2006.6,2008.488,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.794242702992836,52.34435391037452,5.0935,80.95546,2.0935,-6.8293705,0.0,0.0,0.0,0.0,3.0,986.4,986.5212,82.5,91.0,1.0,0.0,0.05506887,0.1676436,69.55736,105.45604,295.76926,297.00235,135.35999,5.1935,4.9935,6.9435,10.893499,0.732,0.721,0.693,0.643
2023-01-13,10,11564,True,1994.75,2002.196,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.974054177145448,52.322732288752874,8.187,78.59208,4.687,2.395475,0.0,0.0,0.0,0.0,2.0,1002.0,1002.0,65.1,39.0,30.0,40.0,0.062388256,0.23307401,30.918108,49.608208,242.24155,245.10872,59.039997,7.087,8.237,8.337001,11.437,0.749,0.744,0.705,0.606
2022-02-18,19,13474,True,1981.0,1981.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.018270113412484,52.385795351816014,6.7435,65.56845,0.7435,-2.5477424,0.0,0.0,0.0,0.0,0.0,991.1,991.22107,17.7,13.0,10.0,0.0,0.078499906,0.3396973,49.950565,76.929726,254.96213,256.7441,92.88,7.4435,7.7435,7.4435,9.893499,0.723,0.722,0.691,0.648
2022-12-31,13,4615,True,2002.75,1996.194,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.808981348415181,52.41462418064488,13.098,91.52016,11.748,8.933354,1.9,1.9,0.0,0.0,61.0,1003.2,1002.3625,100.0,100.0,100.0,100.0,0.038818814,0.12797225,32.271744,52.231026,231.34016,231.15515,67.32,11.398,8.048,6.798,11.698,0.749,0.726,0.667,0.609
2008-09-21,18,6722,True,1981.6,1959.966,0.0,0.0,0.0,5.0,0.0,0.0,5.0,4.859092742851156,52.3821917482124,13.624,82.36146,10.674,11.79431,0.0,0.0,0.0,0.0,1.0,1025.2,1024.8336,46.500004,1.0,72.0,8.0,0.035482947,0.27547646,14.003029,22.33161,17.969234,20.772345,20.519999,14.424,13.374,14.474,13.074,0.583,0.598,0.563,0.628
2009-11-14,21,6095,True,2003.8,2003.22,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.844354097428811,52.37858814460879,11.7435,75.95909,7.6435003,3.892353,0.4,0.4,0.0,0.0,51.0,1000.2,1000.07996,54.0,33.0,34.0,13.0,0.06845495,0.33201885,49.644768,71.27818,224.11868,224.59079,83.88,11.2435,10.9935,10.893499,13.143499,0.598,0.586,0.495,0.543
2022-04-07,11,4471,True,2010.5,2011.03,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.806033619330712,52.38038994641061,9.45,68.77871,4.0,1.047399,0.1,0.1,0.0,0.0,51.0,980.9,981.0187,43.800003,26.0,34.0,0.0,0.18312433,0.3701709,47.867817,70.41659,254.29129,253.97406,86.03999,9.4,8.1,7.75,9.05,0.694,0.615,0.599,0.687
2022-02-21,19,3454,True,1999.0,1998.889,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.78245178665496,52.349759315779934,6.9935,77.039,3.2435,0.7472434,0.0,0.0,0.0,0.0,0.0,1009.3,1009.42334,7.2,8.0,0.0,0.0,0.039298803,0.23044938,32.074364,51.9399,315.0001,316.1232,62.279995,6.7935004,6.8935003,7.6435003,9.8435,0.738,0.744,0.721,0.681
2019-03-17,2,4340,True,1991.0,1994.574,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.803085890246244,52.36957913559978,9.037001,79.8187,5.737,3.0334868,0.7,0.7,0.0,0.0,53.0,993.8,993.8,100.0,100.0,100.0,91.0,0.038711827,0.23271435,33.912685,53.4706,217.23491,219.26225,64.799995,9.137,8.187,7.837,9.587001,0.722,0.725,0.704,0.63
2022-02-20,12,9723,True,1970.667,1949.066,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.929838240878413,52.38399355001421,9.111,88.50216,7.311,2.5062628,1.2,1.2,0.0,0.0,55.0,1002.4,1001.915,100.0,100.0,100.0,100.0,0.04312088,0.13324225,40.53798,62.85274,236.59215,238.58604,66.6,7.661,6.311,7.461,9.811001,0.741,0.738,0.697,0.649
2022-02-18,17,13205,True,2016.0,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.012374655243546,52.35156111758174,7.7175,68.9073,2.3675,-1.7141714,0.0,0.0,0.0,0.0,1.0,986.7,986.33997,43.5,21.0,41.0,0.0,0.0804712,0.3278852,52.810905,81.219696,244.1337,245.93437,102.24,8.3175,7.8175,7.4175,9.8175,0.729,0.725,0.695,0.663
2022-02-18,19,6715,True,1937.5,1927.56,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.859092742851156,52.36957913559978,6.8915,62.821686,0.2915,-2.0632029,0.0,0.0,0.0,0.0,1.0,991.8,990.95355,24.9,17.0,16.0,0.0,0.08385975,0.37053877,47.149002,74.93276,255.85762,257.23233,99.0,7.6415,7.9415,7.5415,9.841499,0.722,0.72,0.7,0.679
2022-02-19,13,9361,True,1976.0,1976.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.920995053625006,52.40741697343766,7.0305004,61.72812,0.1805,0.54280996,0.1,0.1,0.0,0.0,51.0,1011.0,1010.7536,95.700005,9.0,96.0,100.0,0.14160983,0.38508832,30.113304,43.644707,242.20964,241.95541,59.76,7.5805,7.1805,7.5805,9.830501,0.708,0.717,0.703,0.681
2022-02-18,17,8083,True,1878.667,1881.819,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.891517762780315,52.35696652298716,7.274,70.55382,2.274,-1.6775823,0.2,0.2,0.0,0.0,51.0,986.7,986.45953,57.300003,35.0,43.0,0.0,0.07272239,0.3012662,49.40401,77.5706,247.73337,249.6306,104.03999,8.374,7.974,7.574,9.874,0.727,0.72,0.7,0.679
2008-01-31,13,7995,True,1963.478,1979.509,0.0,4.0,5.0,1.0,1.0,8.0,4.0,4.888570033695846,52.423633189653906,4.337,78.84283,0.987,-5.4710636,0.8,0.8,0.0,0.0,53.0,1001.9,1001.7767,100.0,37.0,80.0,94.0,0.060319982,0.17666095,53.764282,81.02799,200.37651,202.46326,91.439995,4.837,5.887,7.687,10.437,0.685,0.685,0.691,0.65
2019-05-11,20,5609,True,1958.0,1958.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.832563181090935,52.403813369834054,7.235,64.27743,0.935,3.6532235,0.0,0.0,0.0,0.0,0.0,1025.3,1024.1763,7.2,8.0,0.0,0.0,0.04477976,0.36450547,11.013882,24.122683,348.6901,0.8550762,20.16,11.285001,11.185,10.285001,9.435,0.562,0.549,0.582,0.622
2022-05-11,20,11093,True,2017.0,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.962263260807573,52.37498454100519,13.787001,87.44132,11.737,9.627863,0.2,0.2,0.0,0.0,51.0,1008.8,1008.8,100.0,100.0,99.0,0.0,0.042653248,0.19821668,32.209442,49.493126,244.86708,246.41833,56.88,14.887,14.337001,10.887,9.137,0.402,0.457,0.55,0.654
2021-05-21,18,6831,True,1920.056,1907.888,0.0,13.0,3.0,1.0,0.0,1.0,0.0,4.862040471935624,52.35336291938354,12.248,61.02212,4.948,5.2244244,0.0,0.0,0.0,0.0,3.0,997.9,997.1837,81.9,26.0,90.0,15.0,0.15282069,0.5565157,39.74048,61.197876,227.20262,228.33856,73.439995,13.498,11.598,9.748,8.548,0.667,0.651,0.598,0.67
2022-02-18,15,6611,True,2002.5,2000.124,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.856145013766686,52.40741697343766,9.124,66.09694,3.124,-1.1175251,0.4,0.4,0.0,0.0,51.0,984.9,984.54254,6.8999996,7.0,1.0,0.0,0.12969886,0.39325213,59.31703,91.403854,225.7376,226.11696,106.56,8.774,7.874,7.524,9.824,0.737,0.726,0.702,0.681
2020-05-01,16,8986,True,1984.182,1979.453,0.0,0.0,0.0,6.0,1.0,0.0,4.0,4.912151866371598,52.40741697343766,12.3175,64.97068,5.9175,7.938033,0.0,0.0,0.0,0.0,2.0,998.7,998.222,52.5,15.0,22.0,86.0,0.19693497,0.50241727,23.051247,32.41799,268.2101,268.09088,50.399998,13.367499,11.0675,10.367499,9.2175,0.568,0.463,0.565,0.678
