Date,Hour,has_roadsign,Gemiddelde hoogte onderkant bord,Gemiddelde kijkrichting,Scheiding,Buispaal,Flespaal,Lichtmast,Overig,Mast,Bouwwerk,Portaal,Hekwerk,VRI-Mast,Muur,grid_id,LON,LAT,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
2021-05-21,18,True,2.378,196.389,0.0,13.0,5.0,16.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,6334,4.850249555597749,52.35876832478895,12.2415,61.020565,4.9415,5.2165565,0.0,0.0,0.0,0.0,3.0,997.9,997.06445,81.9,26.0,90.0,15.0,0.1527792,0.55630046,39.74048,61.197876,227.20262,228.33856,73.439995,13.4915,11.591499,9.7415,8.5415,0.667,0.651,0.598,0.67
2020-02-09,14,True,2.585,168.485,1.0,2.0,19.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11961,4.9828973643988554,52.36237192839256,10.874,76.59889,6.924,1.5652952,0.4,0.4,0.0,0.0,51.0,992.1,991.86127,100.0,100.0,76.0,100.0,0.094710395,0.30511796,58.442093,88.24407,206.72282,207.7149,116.64,8.674,6.424,7.424,10.324,0.67,0.672,0.675,0.627
2022-02-18,14,True,2.502,147.632,0.0,0.0,38.0,9.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,8086,4.891517762780315,52.36237192839256,9.6785,69.79615,4.4285,1.5372429,0.0,0.0,0.0,0.0,0.0,986.8,985.7281,15.3,5.0,18.0,0.0,0.10451241,0.36363935,46.666885,72.552284,218.10762,220.16951,87.12,8.778501,7.8785,7.5285,9.8285,0.735,0.719,0.699,0.679
2020-02-16,12,True,2.244,192.868,0.0,1.0,39.0,9.0,0.0,4.0,4.0,8.0,0.0,0.0,0.0,6569,4.856145013766686,52.331741297761894,13.330501,85.677956,10.9805,8.581417,0.2,0.2,0.0,0.0,51.0,996.0,995.88116,100.0,100.0,100.0,97.0,0.060992848,0.21944702,34.651752,56.01442,212.69945,213.9965,74.159996,11.4805,8.6805,7.5305004,10.1305,0.716,0.708,0.707,0.676
2021-03-13,13,True,2.389,191.091,0.0,25.0,3.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,10304,4.944576886300758,52.304714270734834,7.6,68.88299,2.25,-1.3166971,0.4,0.4,0.0,0.0,51.0,989.4,989.64056,62.100002,11.0,48.0,78.0,0.14059828,0.32552487,49.13571,71.672554,248.51033,249.10704,84.96,7.7,6.35,6.7,9.25,0.713,0.684,0.67,0.655
2021-03-11,12,True,2.562,182.632,0.0,58.0,22.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6461,4.853197284682216,52.36237192839256,9.4415,70.98005,4.4415,1.4205413,0.3,0.3,0.0,0.0,51.0,992.9,992.0601,100.0,100.0,100.0,94.0,0.09780417,0.34387285,45.860096,70.46075,247.86446,248.41597,94.32,8.6915,5.9415,6.4915004,9.1915,0.68,0.663,0.677,0.683
2021-04-05,10,True,2.33,153.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11554,4.974054177145448,52.304714270734834,3.774,49.540813,-5.826,-4.1269617,0.0,0.0,0.0,0.0,1.0,1011.0,1010.7505,30.300001,11.0,34.0,0.0,0.1603376,0.40493578,34.488674,47.959785,323.48886,324.16226,64.799995,5.524,7.474,8.074,8.824,0.59,0.602,0.648,0.656
2020-06-18,20,True,2.823,219.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10714,4.953420073554166,52.367777333797974,18.674002,71.99723,13.524,19.486013,0.0,0.0,0.0,0.0,1.0,1012.4,1012.16315,41.7,7.0,9.0,100.0,0.021791197,0.60320973,2.1897945,1.609969,279.46225,296.56497,3.96,19.774,17.924002,14.024,10.224,0.555,0.406,0.507,0.645
2019-02-09,11,True,2.294,218.636,1.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11552,4.974054177145448,52.301110667131226,9.4805,61.434917,2.4305,1.1366348,0.0,0.0,0.0,0.0,0.0,999.0,998.7584,3.6,4.0,0.0,0.0,0.15323056,0.45818394,45.429947,66.49776,236.3099,236.48196,79.56,7.3305,6.2305,5.6805,10.5305,0.699,0.689,0.62,0.595
2018-01-18,12,True,2.447,176.654,0.0,0.0,72.0,8.0,0.0,7.0,12.0,0.0,0.0,0.0,0.0,8094,4.891517762780315,52.37678634280699,5.7915,79.34453,2.4915,-0.75247717,0.1,0.1,0.0,0.0,51.0,995.4,994.42535,59.4,22.0,66.0,0.0,0.074642114,0.19084579,33.161064,51.322414,302.1372,304.136,85.32,5.2415004,4.8915,6.8415003,10.841499,0.733,0.723,0.692,0.63
