grid_id,has_roadsign,Gemiddelde hoogte onderkant bord,Gemiddelde kijkrichting,Scheiding,Buispaal,Flespaal,Lichtmast,Overig,Mast,Bouwwerk,Portaal,Hekwerk,VRI-Mast,Muur,Incident_ID,Service_Area,Date,Hour,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
2847,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373329,GBA,2021-05-21,18,12.137,62.935837,5.287,5.0031643,0.0,0.0,0.0,0.0,3.0,997.6,997.4806,40.991024,226.06741,75.24,13.687,11.737,9.837001,8.587001,0.654,0.642,0.59,0.666
3204,True,2.392,158.846,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340754,Osdorp,2020-02-09,14,11.0435,74.80951,6.7435,2.2085857,0.0,0.0,0.0,0.0,3.0,991.8,991.9193,54.900883,206.90102,103.67999,8.643499,6.4435,7.5435004,10.2935,0.673,0.679,0.69,0.672
3347,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392843,Osdorp,2022-02-18,14,9.813,69.33678,4.463,1.5472183,0.0,0.0,0.0,0.0,0.0,986.4,986.75726,47.56906,219.47243,89.64,8.863,7.863,7.563,9.863,0.738,0.726,0.701,0.681
3455,True,2.077,120.658,1.0,4.0,23.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,341558,Osdorp,2020-02-16,12,13.3435,85.679306,10.9935,8.598347,0.2,0.2,0.0,0.0,51.0,996.0,996.1186,34.651752,212.69945,74.159996,11.4935,8.6935,7.5435004,10.143499,0.716,0.708,0.707,0.676
3579,True,2.178,201.0,1.0,0.0,25.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,368931,Osdorp,2021-03-13,13,7.2435,69.5495,2.0435,-1.340168,0.1,0.1,0.0,0.0,51.0,989.4,989.52026,46.601578,249.18486,87.84,7.7435,6.3435,6.6435003,9.1935,0.709,0.685,0.678,0.683
3580,True,2.139,185.111,1.0,0.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368724,Osdorp,2021-03-11,12,9.4935,70.990166,4.4935,1.4831691,0.3,0.3,0.0,0.0,51.0,992.9,993.02014,45.860096,247.86446,94.32,8.7435,5.9935,6.5435004,9.2435,0.68,0.663,0.677,0.683
3582,True,2.365,181.894,1.0,0.0,30.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,370322,Osdorp,2021-04-05,10,3.7805,48.60782,-6.0695,-3.9681287,0.0,0.0,0.0,0.0,1.0,1011.3,1011.17523,33.270313,324.24603,65.520004,5.4305,7.4805,8.080501,8.7805,0.614,0.619,0.664,0.682
3584,True,2.16,235.324,0.0,2.0,20.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,349715,Osdorp,2020-06-18,20,17.087,84.683105,14.487,17.699879,0.0,0.0,0.0,0.0,1.0,1012.5,1012.5,5.937272,284.03625,10.08,19.437,17.786999,13.887,10.237,0.59,0.444,0.513,0.659
3705,True,2.439,234.318,0.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312894,Osdorp,2019-02-09,11,9.3435,61.840324,2.3935,1.6479344,0.0,0.0,0.0,0.0,0.0,998.7,998.8208,40.93882,235.75092,75.6,7.3935003,6.3435,5.7935004,10.4935,0.704,0.701,0.657,0.613
3825,True,2.551,208.5,1.0,0.0,8.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,293556,Osdorp,2018-01-18,12,5.887,77.133064,2.187,-0.77345085,0.2,0.2,0.0,0.0,51.0,995.7,995.7,33.58628,300.96368,83.520004,5.387,4.987,6.937,10.887,0.728,0.723,0.693,0.643
3827,True,2.175,157.417,0.0,4.0,3.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,424411,Osdorp,2023-03-13,15,13.8,60.97066,6.4,6.5423946,0.0,0.0,0.0,0.0,0.0,991.0,991.23596,43.536186,226.00499,88.2,12.15,6.65,6.05,9.55,0.699,0.702,0.679,0.665
3833,True,1.757,212.792,4.0,4.0,17.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,397777,Osdorp,2022-04-06,16,10.161,83.04732,7.411,4.8409653,0.6,0.6,0.0,0.0,53.0,994.4,993.9204,31.89608,216.74065,61.920002,9.811001,7.911,7.711,9.061001,0.642,0.591,0.604,0.687
3835,True,2.014,220.333,0.0,0.0,32.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1568,Osdorp,2018-09-21,19,12.3175,79.20619,8.8175,7.907482,1.9,1.9,0.0,0.0,61.0,1009.8,1009.43756,28.1169,256.67545,62.639996,14.7175,17.317501,15.9175,13.867499,0.617,0.546,0.494,0.623
3952,True,2.326,238.667,0.0,1.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393869,Osdorp,2022-02-19,10,6.437,60.915478,-0.563,-0.2804246,0.0,0.0,0.0,0.0,0.0,1010.9,1010.9,30.911821,255.1545,55.44,6.187,7.287,7.637,9.887,0.704,0.714,0.701,0.679
3958,True,1.88,244.961,9.0,1.0,46.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73183,Osdorp,2008-09-21,18,13.837001,81.02975,10.637,12.095911,0.0,0.0,0.0,0.0,2.0,1025.1,1024.856,13.32,18.924751,19.8,14.487,13.737,14.587001,13.687,0.528,0.538,0.517,0.561
3960,True,2.182,219.364,0.0,0.0,23.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,315655,Osdorp,2019-03-17,2,9.024,79.81684,5.724,3.0176148,0.7,0.7,0.0,0.0,53.0,993.8,993.5593,33.912685,217.23491,64.799995,9.124,8.174,7.824,9.574,0.722,0.725,0.704,0.63
3979,True,2.039,116.455,1.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,280204,GBA,2017-08-03,18,18.524,70.80596,13.124,14.654522,0.0,0.0,0.0,0.0,0.0,1008.1,1007.7457,33.342297,232.01645,63.72,20.074001,18.324001,16.474,12.574,0.615,0.583,0.484,0.611
4079,True,2.503,188.786,0.0,0.0,8.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,340980,Osdorp,2020-02-09,18,11.124,87.193474,9.074,3.3641458,1.1,1.1,0.0,0.0,55.0,985.1,984.8633,51.55924,215.90982,100.799995,8.924,6.774,7.524,10.274,0.694,0.679,0.69,0.672
4080,True,2.185,188.932,1.0,0.0,79.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,393468,Osdorp,2022-02-18,17,7.261,70.55124,2.261,-1.6928983,0.2,0.2,0.0,0.0,51.0,986.7,986.2194,49.40401,247.73337,104.03999,8.361,7.961,7.561,9.861,0.727,0.72,0.7,0.679
4084,True,2.26,118.8,0.0,0.0,29.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342214,Osdorp,2020-02-24,19,9.824,88.262794,7.974,3.8788614,0.1,0.1,0.0,0.0,51.0,1001.0,1000.7583,37.14286,236.46393,68.4,8.124,7.274,7.924,9.924,0.746,0.75,0.72,0.683
4094,True,2.204,121.537,3.0,3.0,25.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,130711,Osdorp,2012-11-25,6,11.887,79.95143,8.537001,4.281046,0.0,0.0,0.0,0.0,3.0,997.4,997.16095,49.52454,197.77649,77.76,8.837001,7.587,9.387,12.387,0.63,0.619,0.618,0.607
4094,True,2.204,121.537,3.0,3.0,25.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,400522,Osdorp,2022-05-11,20,13.437,88.86575,11.637,9.689825,0.2,0.2,0.0,0.0,51.0,1008.8,1008.6796,29.168886,245.96571,57.239998,14.387,14.087001,10.737,9.137,0.483,0.465,0.546,0.671
4199,True,2.342,182.143,0.0,2.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340898,Osdorp,2020-02-09,16,11.2675,77.9823,7.5675,2.6927347,0.6,0.6,0.0,0.0,53.0,988.0,987.6441,54.477882,209.27516,99.72,8.867499,6.6175003,7.5175004,10.2675,0.678,0.679,0.69,0.672
4201,True,2.401,134.96,0.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136695,Osdorp,2013-03-15,21,2.2065,82.03077,-0.5435,-3.7839875,0.0,0.0,0.0,0.01,3.0,1010.0,1010.3759,25.942488,177.6141,41.399998,0.6065,1.1065,3.6065,5.9065,0.483,0.471,0.469,0.491
4208,True,2.219,180.929,0.0,0.0,19.0,11.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,116837,Osdorp,2012-01-05,20,5.137,77.842865,1.587,-3.7090278,0.1,0.1,0.0,0.0,51.0,1002.4,1002.1538,47.856983,315.0001,77.76,5.887,7.037,8.187,10.987,0.649,0.655,0.636,0.581
4209,True,2.319,196.33,3.0,0.0,39.0,27.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,69920,Osdorp,2008-06-19,15,17.661001,60.64869,9.961,14.065775,0.0,0.0,0.0,0.0,0.0,1011.0,1010.2876,26.019806,255.5792,50.76,18.411001,15.211,13.911,10.361,0.459,0.458,0.494,0.586
4220,True,2.358,192.844,0.0,2.0,36.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,92040,Osdorp,2010-02-02,13,4.6435003,92.24947,3.4935,-1.8584857,1.2,1.2,0.0,0.01,55.0,999.9,999.7769,34.152596,251.56496,56.88,1.4935,1.4935,3.6435,9.0435,0.672,0.634,0.614,0.571
4220,True,2.358,192.844,0.0,2.0,36.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,312878,Osdorp,2019-02-09,9,8.287001,64.98002,2.087,0.4970832,0.0,0.0,0.0,0.0,1.0,997.6,997.47906,41.211742,231.02753,74.520004,6.387,6.287,5.737,10.537001,0.699,0.688,0.629,0.602
4230,True,2.233,140.211,2.0,3.0,16.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,267380,GBA,2017-02-23,14,9.487,68.78633,4.037,1.6614561,0.2,0.2,0.0,0.0,51.0,985.2,985.08093,43.96129,238.39255,86.03999,8.437,7.187,5.387,8.287001,0.732,0.71,0.658,0.63
4327,True,2.375,186.278,1.0,0.0,30.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,439973,Osdorp,2023-09-19,13,18.030499,75.97455,13.7305,13.919662,0.5,0.5,0.0,0.0,53.0,1006.4,1006.28174,36.44722,212.90524,72.72,17.0805,16.9305,16.880499,13.4305,0.646,0.603,0.533,0.633
4334,True,2.333,175.019,1.0,2.0,27.0,16.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,279167,Osdorp,2017-07-20,21,15.924,77.65301,12.024,14.935726,0.0,0.0,0.0,0.0,2.0,1011.6,1011.361,11.090103,234.24602,27.0,18.874,19.824001,16.474,11.824,0.662,0.547,0.503,0.622
