Date,Hour,grid_id,has_building,Gemiddeld Bouwjaar,Gewogen Gemiddeld Bouwjaar,Voor 1860,1860-1919,1920-1939,1940-1969,1970-1985,1986-2001,Na 2001,LON,LAT,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
2022-02-09,6,8123,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.891517762780315,52.42903859505931,8.7065,87.56151,6.7565,3.7013502,0.1,0.1,0.0,0.0,51.0,1022.7,1022.948,90.3,100.0,0.0,1.0,0.016851155,0.14026481,28.660158,46.060303,237.30801,238.42189,50.76,8.0065,7.5565,7.2565,10.106501,0.697,0.706,0.698,0.677
2022-03-26,10,8459,True,1909.0,1961.89,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.900360950033722,52.35876832478895,13.6154995,55.483456,4.8655,11.007003,0.0,0.0,0.0,0.0,0.0,1033.7,1032.3464,0.0,0.0,0.0,0.0,0.25834048,0.6949959,9.346143,12.224107,15.642312,13.627024,20.519999,9.565499,8.6154995,8.1655,9.1154995,0.528,0.557,0.621,0.691
2022-12-09,11,6220,True,1960.625,1964.043,0.0,0.0,1.0,4.0,1.0,0.0,2.0,4.84730182651328,52.37858814460879,-0.552,98.1934,-0.802,-3.5349126,0.0,0.0,0.0,0.0,3.0,1006.5,1005.61743,92.100006,100.0,3.0,1.0,0.028947525,0.010637999,5.0528407,6.130579,184.08554,183.3664,13.679999,0.748,3.598,8.298,12.848,0.67,0.666,0.63,0.605
2023-01-08,14,14528,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.044799675172706,52.25786742388793,9.1935,78.47191,5.6435003,4.6246347,0.0,0.0,0.0,0.0,1.0,997.1,997.1,22.199999,24.0,1.0,0.0,0.07312984,0.25087523,23.933907,36.776424,201.16133,203.05133,43.56,8.5935,8.3435,8.143499,11.4435,0.692,0.701,0.697,0.618
2022-05-31,20,5207,True,1995.385,1988.726,0.0,0.0,0.0,5.0,0.0,0.0,8.0,4.8237199938375275,52.35516472118534,11.117499,83.72924,8.4675,9.555992,0.4,0.4,0.0,0.0,51.0,1013.4,1013.0347,9.900001,2.0,0.0,27.0,0.023633325,0.21559381,7.9526596,13.849476,185.19434,188.97255,25.919998,14.3175,13.4675,12.617499,9.617499,0.55,0.53,0.536,0.661
2023-08-01,10,7697,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8826745755269085,52.33714670316731,18.187,73.808784,13.437,15.140678,0.1,0.1,0.0,0.0,51.0,999.0,999.0,54.3,45.0,23.0,0.0,0.27711442,0.5472559,28.44,39.601635,270.0,270.52084,55.44,17.487,17.036999,16.137,11.987,0.638,0.575,0.517,0.648
2023-07-06,13,8193,True,1980.0,1980.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.894465491864784,52.32993949596009,19.561,56.2385,10.611,18.10398,0.0,0.0,0.0,0.0,0.0,1018.0,1017.5249,9.9,2.0,2.0,23.0,0.4456413,0.9963341,19.255793,25.872454,249.19313,248.7907,39.239998,20.261,16.061,15.861,10.861,0.605,0.528,0.537,0.66
2022-04-28,11,5147,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8237199938375275,52.24705661307711,11.5435,58.9611,3.7935,8.642342,0.0,0.0,0.0,0.0,2.0,1031.6,1031.8475,59.399998,66.0,0.0,0.0,0.2904834,0.5593824,12.819235,16.199999,51.842735,53.13002,27.359999,11.643499,8.8435,9.8435,7.8935003,0.275,0.273,0.314,0.384
2023-05-16,14,9039,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.915099595456067,52.277687243707774,12.912999,60.12942,5.363,8.862548,0.0,0.0,0.0,0.0,1.0,1022.4,1022.7665,25.5,11.0,26.0,0.0,0.23862384,0.5946055,19.95972,26.596178,309.14398,309.50766,39.239998,14.662999,12.412999,11.412999,9.212999,0.656,0.668,0.675,0.68
2022-11-07,11,11782,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.979949635314387,52.265074631095146,12.45,89.97312,10.85,8.966581,0.3,0.3,0.0,0.0,51.0,1008.0,1008.12067,100.0,37.0,100.0,99.0,0.054085094,0.1450454,25.7041,39.640884,217.03047,219.47243,43.92,10.95,10.45,12.9,13.65,0.704,0.671,0.532,0.609
