Date,Hour,grid_id,has_building,Gemiddeld Bouwjaar,Gewogen Gemiddeld Bouwjaar,Voor 1860,1860-1919,1920-1939,1940-1969,1970-1985,1986-2001,Na 2001,LON,LAT,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
2018-01-18,14,3142,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.776556328486022,52.238047604068086,4.8564997,84.45695,2.4565,-0.8424232,0.1,0.1,0.0,0.0,51.0,998.8,999.2913,49.5,37.0,27.0,0.0,0.046154145,0.13458169,27.322077,41.798775,288.43503,290.15182,55.44,5.2064996,5.1064997,6.0565,8.9065,0.424,0.423,0.408,0.386
2022-02-19,14,14395,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.041851946088236,52.2434530094735,6.9935,60.61048,-0.1065,0.044712543,0.1,0.1,0.0,0.0,51.0,1010.9,1010.9,100.0,29.0,100.0,100.0,0.12856461,0.39532936,32.97097,47.051323,238.39255,238.13406,56.88,7.5435004,7.1935,7.4935,9.7435,0.712,0.719,0.707,0.68
2019-02-07,16,13071,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.009426926159078,52.335344901365495,7.437,74.70287,3.237,0.68976164,0.2,0.2,0.0,0.0,51.0,1005.5,1005.5,13.5,7.0,12.0,0.0,0.065462954,0.26171452,35.50155,54.654827,239.53453,240.39565,75.96,7.387,5.387,5.487,10.637,0.697,0.686,0.614,0.596
2020-02-09,14,11365,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96815871897651,52.41462418064488,11.0,75.317314,6.8,1.3794603,0.0,0.0,0.0,0.0,3.0,991.7,991.93866,100.0,100.0,76.0,100.0,0.10147999,0.32453156,60.379196,89.873184,207.32886,208.2074,104.399994,8.7,6.35,7.45,10.4,0.666,0.672,0.675,0.619
2023-04-01,15,13232,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.012374655243546,52.400209766230454,9.95,92.87266,8.85,6.4414206,0.4,0.4,0.0,0.0,51.0,1001.4,1001.6416,100.0,100.0,100.0,97.0,0.048044052,0.087376,21.99538,31.293089,21.10492,23.025528,43.199997,10.45,9.4,8.2,9.3,0.742,0.718,0.679,0.642
2009-09-18,18,14856,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.050695133341644,52.398407964428635,16.293499,76.69491,12.1935,15.329449,0.0,0.0,0.0,0.0,0.0,1017.5,1017.5,1.5,0.0,0.0,5.0,0.038615465,0.4320948,11.298495,24.606731,59.349415,69.44387,18.0,17.1935,15.5435,15.4435,13.2935,0.416,0.404,0.413,0.54
2023-01-04,14,1915,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.747079037641331,52.27948904550957,11.95,86.979385,9.85,6.7988615,0.0,0.0,0.0,0.0,2.0,1011.6,1011.9638,66.9,16.0,39.0,97.0,0.054962274,0.1822722,35.141975,54.12944,240.54642,241.38963,65.159996,10.15,8.55,8.2,9.8,0.421,0.424,0.416,0.357
2021-03-11,12,14913,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.053642862426113,52.27588544190598,10.2565,68.70435,4.7565,2.046266,0.1,0.1,0.0,0.0,51.0,993.1,993.33954,100.0,99.0,95.0,88.0,0.119796105,0.39163476,47.603107,71.06239,247.31343,247.98293,97.2,9.2065,6.0565,6.6064997,9.2565,0.672,0.655,0.667,0.665
2022-02-24,11,15442,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.065433778763989,52.328137694158286,9.5675,66.89683,3.7175,2.3723574,0.0,0.0,0.0,0.0,3.0,1004.0,1003.63617,100.0,54.0,100.0,0.0,0.1638907,0.3955922,39.206955,55.380356,210.33209,210.89981,67.67999,7.8175,6.8675003,7.4675,9.7175,0.696,0.71,0.717,0.669
2012-11-25,13,4545,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.808981348415181,52.2884980545186,10.0065,63.3262,3.3565,1.19315,0.0,0.0,0.0,0.0,0.0,1004.7,1005.0639,9.9,11.0,0.0,0.0,0.13638821,0.45134342,49.82587,71.57031,232.63326,233.59114,81.0,9.106501,8.2065,9.2065,12.3065,0.488,0.487,0.484,0.479
2020-06-18,20,14010,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03300875883483,52.22543499145546,17.3305,83.62355,14.5305,18.060839,0.0,0.0,0.0,0.0,1.0,1012.5,1012.381,49.5,11.0,16.0,100.0,0.022162376,0.324211,5.2416787,9.504273,285.94547,294.62354,10.08,19.630499,18.030499,14.1305,10.330501,0.581,0.409,0.488,0.647
2018-01-18,10,2998,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.770660870317084,52.42903859505931,4.9564996,83.276276,2.3565,-6.91914,0.0,0.0,0.0,0.0,2.0,985.6,985.84204,78.299995,87.0,0.0,0.0,0.04826599,0.14581698,69.553635,105.67333,297.09546,298.48575,133.56,5.1064997,4.9564996,6.9065,10.9065,0.733,0.721,0.692,0.63
2022-02-19,17,17028,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.103754256862087,52.25786742388793,4.7825,88.432976,3.0325,-0.64471316,1.3,1.3,0.0,0.0,61.0,1007.5,1007.5,100.0,21.0,100.0,100.0,0.024618233,0.099639475,26.183659,42.05225,198.43504,201.0728,48.6,6.3824997,7.1825,7.5325,9.7825,0.721,0.714,0.703,0.683
2022-11-02,19,10861,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.956367802638635,52.40741697343766,11.4565,68.95009,5.9564996,6.429558,0.0,0.0,0.0,0.0,1.0,1015.6,1015.96594,35.4,0.0,9.0,100.0,0.06346123,0.42078578,27.551172,44.50625,186.75348,189.30986,48.239998,11.9065,13.0565,13.5565,13.856501,0.556,0.547,0.47,0.6
2023-03-13,15,16691,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0949110696086795,52.32633589235648,14.2695,60.24954,6.6695,7.0665283,0.0,0.0,0.0,0.0,0.0,991.2,991.43536,18.9,21.0,0.0,0.0,0.20707554,0.64743024,43.58974,62.722702,228.01286,228.25731,86.399994,12.419499,8.5695,4.7194996,6.5695,0.268,0.273,0.244,0.269
2020-06-29,21,16024,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.080172424186335,52.25066021668071,15.5455,65.45755,9.0955,11.299995,0.0,0.0,0.0,0.0,3.0,1008.8,1009.03894,100.0,97.0,98.0,0.0,0.08589032,0.6106795,27.497026,42.77794,223.93918,226.36386,50.399998,17.4955,18.4455,15.5955,10.695499,0.402,0.407,0.479,0.646
