grid_id,has_building,Gemiddeld Bouwjaar,Gewogen Gemiddeld Bouwjaar,Voor 1860,1860-1919,1920-1939,1940-1969,1970-1985,1986-2001,Na 2001,Incident_ID,Service_Area,Date,Hour,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
2955,True,1994.538,1994.47,0.0,0.0,0.0,0.0,0.0,13.0,0.0,293658,Osdorp,2018-01-18,14,4.7935004,87.19065,2.8435,-0.8028872,0.6,0.6,0.0,0.0,53.0,998.6,998.7226,27.103,286.9909,52.199997,5.2935004,5.0435004,6.9435,10.893499,0.733,0.723,0.693,0.643
2955,True,1994.538,1994.47,0.0,0.0,0.0,0.0,0.0,13.0,0.0,393970,Osdorp,2022-02-19,14,6.7935004,63.483765,0.3435,0.25265217,0.1,0.1,0.0,0.0,51.0,1010.6,1010.72345,30.652895,236.49654,57.239998,7.4935,7.2435,7.6435003,9.893499,0.706,0.713,0.701,0.679
3081,True,1995.8,1995.228,0.0,0.0,0.0,0.0,0.0,9.0,1.0,312740,Osdorp,2019-02-07,16,7.513,74.452934,3.263,0.9859905,0.2,0.2,0.0,0.0,51.0,1005.5,1005.98956,34.025234,240.18001,71.28,7.463,5.463,5.563,10.613,0.706,0.702,0.652,0.613
3204,True,1989.778,1994.345,0.0,0.0,2.0,0.0,0.0,15.0,1.0,340754,Osdorp,2020-02-09,14,11.0435,74.80951,6.7435,2.2085857,0.0,0.0,0.0,0.0,3.0,991.8,991.9193,54.900883,206.90102,103.67999,8.643499,6.4435,7.5435004,10.2935,0.673,0.679,0.69,0.672
3577,True,1998.0,1998.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,425919,Osdorp,2023-04-01,15,10.25,91.64510345458984,8.949999809265137,7.185907363891602,1.0,1.0,0.0,0.0,55.0,1001.4000244140624,1001.6416015625,19.130874633789062,19.798973083496094,38.519996643066406,10.600000381469728,9.399999618530272,8.149999618530273,9.199999809265137,0.7570000290870667,0.7429999709129333,0.7009999752044678,0.6690000295639038
3578,True,1998.143,1998.271,0.0,0.0,0.0,0.0,0.0,14.0,0.0,86589,Osdorp,2009-09-18,18,16.45,76.97193,12.4,15.409058,0.0,0.0,0.0,0.0,0.0,1017.1,1017.3402,12.287555,58.1726,17.64,17.0,16.0,15.8,14.75,0.35,0.341,0.334,0.425
3578,True,1998.143,1998.271,0.0,0.0,0.0,0.0,0.0,14.0,0.0,419475,Osdorp,2023-01-04,14,11.843500137329102,86.09855651855469,9.593500137329102,6.649477005004883,0.0,0.0,0.0,0.0,2.0,1011.2999877929688,1011.4210205078124,34.942264556884766,242.37901306152344,64.79999542236328,10.343500137329102,7.893500328063965,7.643500328063965,11.643499374389648,0.734000027179718,0.734000027179718,0.6869999766349792,0.6110000014305115
3580,True,1989.952,1989.943,0.0,0.0,0.0,0.0,0.0,21.0,0.0,368724,Osdorp,2021-03-11,12,9.4935,70.990166,4.4935,1.4831691,0.3,0.3,0.0,0.0,51.0,992.9,993.02014,45.860096,247.86446,94.32,8.7435,5.9935,6.5435004,9.2435,0.68,0.663,0.677,0.683
3582,True,1978.083,1982.817,0.0,0.0,0.0,2.0,7.0,1.0,2.0,394725,Osdorp,2022-02-24,11,9.65,66.67975,3.75,2.8125753,0.0,0.0,0.0,0.0,3.0,1003.8,1004.0428,36.79756,210.57915,66.6,8.1,7.15,7.65,9.8,0.7,0.713,0.721,0.684
3583,True,1970.625,1969.138,0.0,0.0,0.0,14.0,0.0,0.0,2.0,130745,Osdorp,2012-11-25,13,9.85,63.963737,3.35,1.0354075,0.0,0.0,0.0,0.0,0.0,1004.7,1004.7,49.82587,232.63326,81.0,9.0,8.0,9.4,12.4,0.623,0.619,0.618,0.607
3584,True,1988.083,1989.31,0.0,0.0,0.0,6.0,0.0,1.0,5.0,349715,Osdorp,2020-06-18,20,17.087,84.683105,14.487,17.699879,0.0,0.0,0.0,0.0,1.0,1012.5,1012.5,5.937272,284.03625,10.08,19.437,17.786999,13.887,10.237,0.59,0.444,0.513,0.659
3602,True,1989.909,1983.508,0.0,0.0,0.0,0.0,4.0,6.0,1.0,293416,GBA,2018-01-18,10,4.9305,83.27306,2.3305,-6.9497967,0.0,0.0,0.0,0.0,2.0,985.6,985.3579,69.553635,297.09546,133.56,5.0805,4.9305,6.8805003,10.8805,0.733,0.721,0.692,0.63
3826,True,2002.786,2002.63,0.0,0.0,0.0,0.0,0.0,0.0,28.0,394034,Osdorp,2022-02-19,17,4.687,88.73807,2.987,-0.94574785,1.7,1.7,0.0,0.0,61.0,1006.5,1006.5,27.534704,191.30989,56.16,6.287,7.237,7.637,9.887,0.727,0.713,0.701,0.679
