,geometry
0,"POLYGON ((4.701389236832061 52.206516072536516, 4.701389236832061 52.20831787433832, 4.70433696591653 52.20831787433832, 4.70433696591653 52.206516072536516, 4.701389236832061 52.206516072536516))"
1,"POLYGON ((4.701389236832061 52.20831787433832, 4.701389236832061 52.210119676140124, 4.70433696591653 52.210119676140124, 4.70433696591653 52.20831787433832, 4.701389236832061 52.20831787433832))"
2,"POLYGON ((4.701389236832061 52.210119676140124, 4.701389236832061 52.21192147794193, 4.70433696591653 52.21192147794193, 4.70433696591653 52.210119676140124, 4.701389236832061 52.210119676140124))"
3,"POLYGON ((4.701389236832061 52.21192147794193, 4.701389236832061 52.21372327974373, 4.70433696591653 52.21372327974373, 4.70433696591653 52.21192147794193, 4.701389236832061 52.21192147794193))"
4,"POLYGON ((4.701389236832061 52.21372327974373, 4.701389236832061 52.215525081545536, 4.70433696591653 52.215525081545536, 4.70433696591653 52.21372327974373, 4.701389236832061 52.21372327974373))"
5,"POLYGON ((4.701389236832061 52.215525081545536, 4.701389236832061 52.21732688334734, 4.70433696591653 52.21732688334734, 4.70433696591653 52.215525081545536, 4.701389236832061 52.215525081545536))"
6,"POLYGON ((4.701389236832061 52.21732688334734, 4.701389236832061 52.219128685149144, 4.70433696591653 52.219128685149144, 4.70433696591653 52.21732688334734, 4.701389236832061 52.21732688334734))"
7,"POLYGON ((4.701389236832061 52.219128685149144, 4.701389236832061 52.22093048695095, 4.70433696591653 52.22093048695095, 4.70433696591653 52.219128685149144, 4.701389236832061 52.219128685149144))"
8,"POLYGON ((4.701389236832061 52.22093048695095, 4.701389236832061 52.22273228875275, 4.70433696591653 52.22273228875275, 4.70433696591653 52.22093048695095, 4.701389236832061 52.22093048695095))"
9,"POLYGON ((4.701389236832061 52.22273228875275, 4.701389236832061 52.224534090554556, 4.70433696591653 52.224534090554556, 4.70433696591653 52.22273228875275, 4.701389236832061 52.22273228875275))"
10,"POLYGON ((4.701389236832061 52.224534090554556, 4.701389236832061 52.22633589235636, 4.70433696591653 52.22633589235636, 4.70433696591653 52.224534090554556, 4.701389236832061 52.224534090554556))"
11,"POLYGON ((4.701389236832061 52.22633589235636, 4.701389236832061 52.228137694158164, 4.70433696591653 52.228137694158164, 4.70433696591653 52.22633589235636, 4.701389236832061 52.22633589235636))"
12,"POLYGON ((4.701389236832061 52.228137694158164, 4.701389236832061 52.22993949595997, 4.70433696591653 52.22993949595997, 4.70433696591653 52.228137694158164, 4.701389236832061 52.228137694158164))"
13,"POLYGON ((4.701389236832061 52.22993949595997, 4.701389236832061 52.23174129776177, 4.70433696591653 52.23174129776177, 4.70433696591653 52.22993949595997, 4.701389236832061 52.22993949595997))"
14,"POLYGON ((4.701389236832061 52.23174129776177, 4.701389236832061 52.233543099563576, 4.70433696591653 52.233543099563576, 4.70433696591653 52.23174129776177, 4.701389236832061 52.23174129776177))"
15,"POLYGON ((4.701389236832061 52.233543099563576, 4.701389236832061 52.23534490136538, 4.70433696591653 52.23534490136538, 4.70433696591653 52.233543099563576, 4.701389236832061 52.233543099563576))"
16,"POLYGON ((4.701389236832061 52.23534490136538, 4.701389236832061 52.237146703167184, 4.70433696591653 52.237146703167184, 4.70433696591653 52.23534490136538, 4.701389236832061 52.23534490136538))"
17,"POLYGON ((4.701389236832061 52.237146703167184, 4.701389236832061 52.23894850496899, 4.70433696591653 52.23894850496899, 4.70433696591653 52.237146703167184, 4.701389236832061 52.237146703167184))"
18,"POLYGON ((4.701389236832061 52.23894850496899, 4.701389236832061 52.24075030677079, 4.70433696591653 52.24075030677079, 4.70433696591653 52.23894850496899, 4.701389236832061 52.23894850496899))"
19,"POLYGON ((4.701389236832061 52.24075030677079, 4.701389236832061 52.242552108572596, 4.70433696591653 52.242552108572596, 4.70433696591653 52.24075030677079, 4.701389236832061 52.24075030677079))"
20,"POLYGON ((4.701389236832061 52.242552108572596, 4.701389236832061 52.2443539103744, 4.70433696591653 52.2443539103744, 4.70433696591653 52.242552108572596, 4.701389236832061 52.242552108572596))"
21,"POLYGON ((4.701389236832061 52.2443539103744, 4.701389236832061 52.246155712176204, 4.70433696591653 52.246155712176204, 4.70433696591653 52.2443539103744, 4.701389236832061 52.2443539103744))"
22,"POLYGON ((4.701389236832061 52.246155712176204, 4.701389236832061 52.24795751397801, 4.70433696591653 52.24795751397801, 4.70433696591653 52.246155712176204, 4.701389236832061 52.246155712176204))"
23,"POLYGON ((4.701389236832061 52.24795751397801, 4.701389236832061 52.24975931577981, 4.70433696591653 52.24975931577981, 4.70433696591653 52.24795751397801, 4.701389236832061 52.24795751397801))"
24,"POLYGON ((4.701389236832061 52.24975931577981, 4.701389236832061 52.251561117581616, 4.70433696591653 52.251561117581616, 4.70433696591653 52.24975931577981, 4.701389236832061 52.24975931577981))"
25,"POLYGON ((4.701389236832061 52.251561117581616, 4.701389236832061 52.25336291938342, 4.70433696591653 52.25336291938342, 4.70433696591653 52.251561117581616, 4.701389236832061 52.251561117581616))"
26,"POLYGON ((4.701389236832061 52.25336291938342, 4.701389236832061 52.255164721185224, 4.70433696591653 52.255164721185224, 4.70433696591653 52.25336291938342, 4.701389236832061 52.25336291938342))"
27,"POLYGON ((4.701389236832061 52.255164721185224, 4.701389236832061 52.25696652298703, 4.70433696591653 52.25696652298703, 4.70433696591653 52.255164721185224, 4.701389236832061 52.255164721185224))"
28,"POLYGON ((4.701389236832061 52.25696652298703, 4.701389236832061 52.25876832478883, 4.70433696591653 52.25876832478883, 4.70433696591653 52.25696652298703, 4.701389236832061 52.25696652298703))"
29,"POLYGON ((4.701389236832061 52.25876832478883, 4.701389236832061 52.260570126590636, 4.70433696591653 52.260570126590636, 4.70433696591653 52.25876832478883, 4.701389236832061 52.25876832478883))"
30,"POLYGON ((4.701389236832061 52.260570126590636, 4.701389236832061 52.26237192839244, 4.70433696591653 52.26237192839244, 4.70433696591653 52.260570126590636, 4.701389236832061 52.260570126590636))"
31,"POLYGON ((4.701389236832061 52.26237192839244, 4.701389236832061 52.264173730194244, 4.70433696591653 52.264173730194244, 4.70433696591653 52.26237192839244, 4.701389236832061 52.26237192839244))"
32,"POLYGON ((4.701389236832061 52.264173730194244, 4.701389236832061 52.26597553199605, 4.70433696591653 52.26597553199605, 4.70433696591653 52.264173730194244, 4.701389236832061 52.264173730194244))"
33,"POLYGON ((4.701389236832061 52.26597553199605, 4.701389236832061 52.26777733379785, 4.70433696591653 52.26777733379785, 4.70433696591653 52.26597553199605, 4.701389236832061 52.26597553199605))"
34,"POLYGON ((4.701389236832061 52.26777733379785, 4.701389236832061 52.269579135599656, 4.70433696591653 52.269579135599656, 4.70433696591653 52.26777733379785, 4.701389236832061 52.26777733379785))"
35,"POLYGON ((4.701389236832061 52.269579135599656, 4.701389236832061 52.27138093740146, 4.70433696591653 52.27138093740146, 4.70433696591653 52.269579135599656, 4.701389236832061 52.269579135599656))"
36,"POLYGON ((4.701389236832061 52.27138093740146, 4.701389236832061 52.273182739203264, 4.70433696591653 52.273182739203264, 4.70433696591653 52.27138093740146, 4.701389236832061 52.27138093740146))"
37,"POLYGON ((4.701389236832061 52.273182739203264, 4.701389236832061 52.27498454100507, 4.70433696591653 52.27498454100507, 4.70433696591653 52.273182739203264, 4.701389236832061 52.273182739203264))"
38,"POLYGON ((4.701389236832061 52.27498454100507, 4.701389236832061 52.27678634280687, 4.70433696591653 52.27678634280687, 4.70433696591653 52.27498454100507, 4.701389236832061 52.27498454100507))"
39,"POLYGON ((4.701389236832061 52.27678634280687, 4.701389236832061 52.278588144608676, 4.70433696591653 52.278588144608676, 4.70433696591653 52.27678634280687, 4.701389236832061 52.27678634280687))"
40,"POLYGON ((4.701389236832061 52.278588144608676, 4.701389236832061 52.28038994641048, 4.70433696591653 52.28038994641048, 4.70433696591653 52.278588144608676, 4.701389236832061 52.278588144608676))"
41,"POLYGON ((4.701389236832061 52.28038994641048, 4.701389236832061 52.282191748212284, 4.70433696591653 52.282191748212284, 4.70433696591653 52.28038994641048, 4.701389236832061 52.28038994641048))"
42,"POLYGON ((4.701389236832061 52.282191748212284, 4.701389236832061 52.28399355001409, 4.70433696591653 52.28399355001409, 4.70433696591653 52.282191748212284, 4.701389236832061 52.282191748212284))"
43,"POLYGON ((4.701389236832061 52.28399355001409, 4.701389236832061 52.28579535181589, 4.70433696591653 52.28579535181589, 4.70433696591653 52.28399355001409, 4.701389236832061 52.28399355001409))"
44,"POLYGON ((4.701389236832061 52.28579535181589, 4.701389236832061 52.287597153617696, 4.70433696591653 52.287597153617696, 4.70433696591653 52.28579535181589, 4.701389236832061 52.28579535181589))"
45,"POLYGON ((4.701389236832061 52.287597153617696, 4.701389236832061 52.2893989554195, 4.70433696591653 52.2893989554195, 4.70433696591653 52.287597153617696, 4.701389236832061 52.287597153617696))"
46,"POLYGON ((4.701389236832061 52.2893989554195, 4.701389236832061 52.291200757221304, 4.70433696591653 52.291200757221304, 4.70433696591653 52.2893989554195, 4.701389236832061 52.2893989554195))"
47,"POLYGON ((4.701389236832061 52.291200757221304, 4.701389236832061 52.29300255902311, 4.70433696591653 52.29300255902311, 4.70433696591653 52.291200757221304, 4.701389236832061 52.291200757221304))"
48,"POLYGON ((4.701389236832061 52.29300255902311, 4.701389236832061 52.29480436082491, 4.70433696591653 52.29480436082491, 4.70433696591653 52.29300255902311, 4.701389236832061 52.29300255902311))"
49,"POLYGON ((4.701389236832061 52.29480436082491, 4.701389236832061 52.296606162626716, 4.70433696591653 52.296606162626716, 4.70433696591653 52.29480436082491, 4.701389236832061 52.29480436082491))"
50,"POLYGON ((4.701389236832061 52.296606162626716, 4.701389236832061 52.29840796442852, 4.70433696591653 52.29840796442852, 4.70433696591653 52.296606162626716, 4.701389236832061 52.296606162626716))"
51,"POLYGON ((4.701389236832061 52.29840796442852, 4.701389236832061 52.300209766230324, 4.70433696591653 52.300209766230324, 4.70433696591653 52.29840796442852, 4.701389236832061 52.29840796442852))"
52,"POLYGON ((4.701389236832061 52.300209766230324, 4.701389236832061 52.30201156803213, 4.70433696591653 52.30201156803213, 4.70433696591653 52.300209766230324, 4.701389236832061 52.300209766230324))"
53,"POLYGON ((4.701389236832061 52.30201156803213, 4.701389236832061 52.30381336983393, 4.70433696591653 52.30381336983393, 4.70433696591653 52.30201156803213, 4.701389236832061 52.30201156803213))"
54,"POLYGON ((4.701389236832061 52.30381336983393, 4.701389236832061 52.305615171635736, 4.70433696591653 52.305615171635736, 4.70433696591653 52.30381336983393, 4.701389236832061 52.30381336983393))"
55,"POLYGON ((4.701389236832061 52.305615171635736, 4.701389236832061 52.30741697343754, 4.70433696591653 52.30741697343754, 4.70433696591653 52.305615171635736, 4.701389236832061 52.305615171635736))"
56,"POLYGON ((4.701389236832061 52.30741697343754, 4.701389236832061 52.309218775239344, 4.70433696591653 52.309218775239344, 4.70433696591653 52.30741697343754, 4.701389236832061 52.30741697343754))"
57,"POLYGON ((4.701389236832061 52.309218775239344, 4.701389236832061 52.31102057704115, 4.70433696591653 52.31102057704115, 4.70433696591653 52.309218775239344, 4.701389236832061 52.309218775239344))"
58,"POLYGON ((4.701389236832061 52.31102057704115, 4.701389236832061 52.31282237884295, 4.70433696591653 52.31282237884295, 4.70433696591653 52.31102057704115, 4.701389236832061 52.31102057704115))"
59,"POLYGON ((4.701389236832061 52.31282237884295, 4.701389236832061 52.314624180644756, 4.70433696591653 52.314624180644756, 4.70433696591653 52.31282237884295, 4.701389236832061 52.31282237884295))"
60,"POLYGON ((4.701389236832061 52.314624180644756, 4.701389236832061 52.31642598244656, 4.70433696591653 52.31642598244656, 4.70433696591653 52.314624180644756, 4.701389236832061 52.314624180644756))"
61,"POLYGON ((4.701389236832061 52.31642598244656, 4.701389236832061 52.318227784248364, 4.70433696591653 52.318227784248364, 4.70433696591653 52.31642598244656, 4.701389236832061 52.31642598244656))"
