Date,Hour,has_roadsign,Gemiddelde hoogte onderkant bord,Gemiddelde kijkrichting,Scheiding,Buispaal,Flespaal,Lichtmast,Overig,Mast,Bouwwerk,Portaal,Hekwerk,VRI-Mast,Muur,grid_id,LON,LAT,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
2023-02-06,22,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3548,4.785399515739429,52.29390345992402,0.30650002,98.92014,0.15650001,-2.8287692,0.0,0.0,0.0,0.0,3.0,1040.4,1040.9203,90.0,100.0,0.0,0.0,0.0,0.0067678094,7.0911775,15.496736,66.037506,92.66295,12.24,3.1065,5.3065,6.5565,8.2065,0.386,0.391,0.402,0.399
2022-08-07,14,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12814,5.00353146799014,52.322732288752874,22.711,45.282307,10.261001,21.329897,0.0,0.0,0.0,0.0,3.0,1024.7,1024.2268,85.5,62.0,0.0,99.0,0.45599672,1.5110966,14.773164,18.335276,316.9749,316.5911,29.16,24.711,18.511,16.911001,12.011001,0.298,0.366,0.468,0.626
2022-12-21,20,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13121,5.009426926159078,52.4254349914557,7.9195,93.719955,6.9694996,4.395669,0.0,0.0,0.0,0.0,3.0,1005.1,1005.711,100.0,100.0,20.0,0.0,0.0,0.06713927,18.847641,31.559086,208.52303,212.42105,37.079998,6.0695,3.5695,5.5695,12.4695,0.664,0.635,0.573,0.596
2023-04-20,7,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11521,4.974054177145448,52.2452548112753,7.413,65.7182,1.413,1.6718054,0.2,0.2,0.0,0.0,51.0,1021.1,1021.473,100.0,96.0,100.0,96.0,0.09585529,0.35408545,26.36616,38.046055,55.0079,55.407658,44.639996,7.813,9.563,8.863,9.013,0.639,0.654,0.685,0.68
2022-10-16,16,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12380,4.994688280736732,52.21642598244643,15.35,75.28651,11.0,14.761168,0.0,0.0,0.0,0.0,2.0,1015.7,1015.9406,61.800003,16.0,29.0,100.0,0.050546095,0.43144083,6.162207,13.339445,173.29025,176.906,18.72,15.6,13.3,13.2,13.9,0.653,0.625,0.511,0.611
2023-10-23,10,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7521,4.8797268464424395,52.2452548112753,11.2695,90.7928,9.8195,9.952958,0.0,0.0,0.0,0.0,1.0,1013.0,1013.7301,38.100002,9.0,0.0,100.0,0.10213766,0.1232276,8.78872,11.592894,124.992096,126.15828,19.8,11.169499,11.3195,13.8695,16.119501,0.397,0.4,0.374,0.342
2022-08-10,15,True,2.228,200.303,0.0,5.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6832,4.862040471935624,52.35516472118534,26.317501,45.52472,13.617499,25.553293,0.0,0.0,0.0,0.0,0.0,1024.8,1024.4496,0.0,0.0,0.0,0.0,0.4603868,1.8656948,15.546833,20.633371,47.815628,47.12111,30.239998,26.067501,19.2175,16.7675,12.117499,0.349,0.392,0.473,0.63
2022-06-09,21,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10032,4.9386814281318205,52.265074631095146,13.563,82.62836,10.662999,12.221853,0.0,0.0,0.0,0.0,0.0,1019.3,1019.66473,0.0,0.0,0.0,0.0,0.00868024,0.27023482,10.630672,23.617756,208.30066,217.56866,16.919998,16.113,15.313,12.912999,9.813,0.638,0.627,0.545,0.659
2023-08-24,11,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15853,5.074276966017396,52.39300255902323,22.337,78.60344,18.437,23.74825,0.0,0.0,0.0,0.0,3.0,1013.2,1013.2,91.8,2.0,100.0,100.0,0.253756,0.5773411,11.659777,14.84318,98.88058,104.03627,23.039999,20.536999,18.687,16.737,12.787001,0.486,0.519,0.51,0.633
2022-12-26,19,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5924,4.841406368344342,52.29570526172581,5.4435,59.78498,-1.7565,0.040006638,0.0,0.0,0.0,0.0,0.0,1017.4,1017.6493,11.7,7.0,9.0,0.0,0.05280631,0.36269557,20.730501,36.152676,249.67677,254.99503,34.2,5.4935,6.8435,6.4935,10.2935,0.402,0.406,0.397,0.345
