Date,Hour,has_roadsign,Gemiddelde hoogte onderkant bord,Gemiddelde kijkrichting,Scheiding,Buispaal,Flespaal,Lichtmast,Overig,Mast,Bouwwerk,Portaal,Hekwerk,VRI-Mast,Muur,grid_id,LON,LAT,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
2021-05-21,18,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350,4.708758559543234,52.38759715361782,11.861,66.460945,5.811,4.0234213,0.0,0.0,0.0,0.0,3.0,997.4,996.4443,84.600006,8.0,100.0,58.0,0.13506915,0.4668162,46.601574,69.75087,223.43498,224.58183,83.520004,12.911,11.911,10.011001,7.461,0.369,0.369,0.348,0.384
2020-02-09,14,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4659,4.81192907749965,52.268678234698754,10.863,76.8601,6.963,1.7747765,0.3,0.3,0.0,0.0,51.0,992.2,992.79694,100.0,93.0,55.0,97.0,0.0899377,0.30149156,56.99381,86.78688,206.24129,207.4153,118.44,8.513,6.763,6.813,8.212999,0.387,0.39,0.4,0.397
2022-02-18,14,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14352,5.038904217003768,52.391200757221426,9.687,74.05813,5.287,1.3567772,0.0,0.0,0.0,0.0,1.0,986.7,986.7,29.7,1.0,48.0,0.0,0.09264703,0.31250143,49.195023,72.59692,218.4634,219.76915,87.84,8.837001,7.637,7.437,9.887,0.739,0.722,0.69,0.648
2020-02-16,12,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2539,4.761817683063677,52.277687243707774,13.4065,84.27499,10.8065,8.148197,0.4,0.4,0.0,0.0,51.0,996.2,996.6751,100.0,100.0,100.0,97.0,0.067308694,0.24214089,37.784565,59.338875,210.96368,211.85796,74.88,11.356501,9.356501,7.0565,8.0565,0.414,0.406,0.412,0.401
2021-03-13,13,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12981,5.006479197074608,52.398407964428635,7.5,69.35448,2.25,-1.6414709,0.1,0.1,0.0,0.0,51.0,989.0,989.241,57.000004,7.0,43.0,83.0,0.1348842,0.31841344,50.676952,73.06936,247.44272,248.61787,83.88,7.85,6.35,6.65,9.25,0.704,0.679,0.67,0.657
2021-03-11,12,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121,4.702863101374295,52.4254349914557,8.726,75.18986,4.576,0.078558445,0.5,0.5,0.0,0.0,53.0,992.6,992.84064,100.0,100.0,100.0,96.0,0.08195337,0.28015447,50.34468,75.87805,247.28555,247.69374,100.799995,7.876,6.276,5.526,6.676,0.4,0.387,0.376,0.406
2021-04-05,10,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4860,4.814876806584119,52.40561517163585,3.9435,45.0718,-6.9065,-3.8042865,0.0,0.0,0.0,0.0,1.0,1011.2,1011.2,40.2,12.0,49.0,0.0,0.17397489,0.44606423,32.688713,46.452557,323.5086,324.46225,64.079994,5.4935,7.4435,8.0435,8.7935,0.612,0.618,0.661,0.679
2020-06-18,20,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2114,4.750026766725801,52.412822378843074,16.126,84.57805,13.526,15.913357,0.0,0.0,0.0,0.0,2.0,1012.7,1012.9392,56.4,16.0,20.0,100.0,0.029484667,0.28288162,9.227524,14.658676,290.55612,294.67685,16.199999,18.575998,18.175999,14.876,11.076,0.326,0.253,0.253,0.358
2019-02-09,11,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5503,4.832563181090935,52.21282237884284,9.5065,62.76368,2.7565,1.4982944,0.0,0.0,0.0,0.0,0.0,999.3,999.78345,0.9,1.0,0.0,0.0,0.15111256,0.44316953,43.534702,64.40077,235.78424,236.39873,77.4,7.4065,6.2064996,5.2064996,7.8564997,0.409,0.413,0.397,0.347
2018-01-18,12,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11058,4.962263260807573,52.31192147794205,5.75,78.49645,2.3,-0.90077543,0.1,0.1,0.0,0.0,51.0,995.4,995.64386,73.200005,18.0,95.0,0.0,0.07583104,0.19811177,33.657593,51.024837,302.33017,304.36282,85.67999,5.3,4.8,6.9,10.9,0.729,0.724,0.688,0.618
