Date,grid_id,LAT,LON,Hour,has_tree,avg_height,avg_diameter,avg_year,Fraxinus,Salix,Alnus,Quercus,Tilia,Acer,Populus,Betula,Prunus,Platanus,Malus,Robinia,Crataegus,Ulmus,Carpinus,Overig,Onbekend,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm,Incident_ID
2022-02-21,12401,52.25426382028433,4.994688280736732,12,True,7.182,0.274,1224.779,3.0,8.0,3.0,4.0,3.0,8.0,3.0,3.0,4.0,0.0,1.0,0.0,1.0,29.0,1.0,31.0,2.0,8.224,76.96749,4.424,0.3296666,0.7,0.7,0.0,0.0,53.0,993.5,993.13806,21.6,20.0,5.0,2.0,0.081761286,0.2513923,44.96687,69.27919,284.37003,285.98636,78.12,5.774,6.674,7.474,9.674,0.758,0.748,0.726,0.682,N0
2017-09-13,8302,52.301110667131226,4.897413220949254,15,True,9.238,0.4,1884.614,0.0,0.0,4.0,15.0,21.0,2.0,0.0,2.0,1.0,0.0,25.0,0.0,0.0,9.0,0.0,9.0,0.0,16.286999,53.91118,6.937,10.461114,0.1,0.1,0.0,0.0,51.0,998.6,998.7176,25.800001,10.0,28.0,0.0,0.2547181,0.8543552,34.57687,51.515232,255.52966,256.25507,76.67999,16.036999,14.987,15.737,16.137,0.401,0.399,0.3,0.331,N1
2023-11-02,9291,52.28129084731138,4.920995053625006,17,True,12.0,0.0,1965.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.25,75.44968,6.1,2.3709207,0.1,0.1,0.0,0.0,51.0,970.5,970.61676,100.0,100.0,100.0,100.0,0.06336762,0.3070832,47.33007,72.44681,194.98761,196.45389,82.439995,9.85,11.25,12.8,13.95,0.746,0.744,0.718,0.635,N2
2022-11-17,5711,52.36237192839256,4.835510910175403,2,True,13.556,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2175,89.501144,8.5675,4.544859,1.9,1.9,0.0,0.0,61.0,984.6,984.24414,100.0,100.0,100.0,84.0,0.017938077,0.13103032,36.322556,57.946583,129.3693,130.71703,75.24,9.2175,9.9175,11.9175,13.5675,0.746,0.649,0.557,0.605,N3
2023-07-05,11554,52.304714270734834,4.974054177145448,11,True,18.118,0.0,1579.89,69.0,6.0,6.0,15.0,0.0,78.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,3.0,7.0,0.0,13.624,81.001274,10.424,8.210366,0.7,0.7,0.0,0.0,53.0,1007.0,1006.75995,100.0,37.0,100.0,100.0,0.09689635,0.2967229,38.0733,57.25811,256.88354,258.76074,68.4,13.274,16.524,16.174002,10.874,0.704,0.439,0.536,0.651,N4
2023-07-05,6581,52.35336291938354,4.856145013766686,11,True,9.833,0.0,2001.222,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5415,81.26079,10.3914995,8.232987,0.4,0.4,0.0,0.0,51.0,1007.2,1006.36035,100.0,35.0,100.0,100.0,0.09584734,0.2911048,37.28738,57.123276,259.9921,261.6657,70.92,13.1414995,16.2915,15.9415,10.7915,0.708,0.493,0.538,0.661,N5
2009-05-26,10345,52.37858814460879,4.944576886300758,6,True,13.5,0.4,1917.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,16.6065,95.63821,15.9065,16.454386,2.6,2.6,0.0,0.0,63.0,1006.1,1006.33704,69.6,36.0,15.0,94.0,0.030418716,0.082476854,14.934577,26.072052,195.37631,197.68448,28.08,16.1065,15.8065,11.9065,8.606501,0.543,0.534,0.578,0.658,N6
2022-02-18,9973,52.38399355001421,4.935733699047351,17,True,10.842,0.0,1410.286,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,7.787,69.41316,2.537,-1.8016944,0.0,0.0,0.0,0.0,1.0,986.1,986.1,23.4,14.0,18.0,0.0,0.080311075,0.32408082,54.09711,81.69542,243.94656,245.8068,99.0,8.237,7.737,7.437,9.887,0.727,0.723,0.691,0.648,N7
2022-02-20,6593,52.37498454100519,4.856145013766686,12,True,13.576,0.373,1934.083,0.0,0.0,2.0,18.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.037001,87.892426,7.137,2.6475463,1.0,1.0,0.0,0.0,55.0,1002.3,1002.17883,100.0,100.0,100.0,100.0,0.043064415,0.139611,38.773186,62.296646,238.67136,239.4338,66.96,7.737,6.587,7.587,9.837001,0.739,0.735,0.707,0.682,N8
2013-02-02,11857,52.40020976623045,4.979949635314387,15,True,13.558,0.31,1983.571,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.0,0.0,0.0,2.0,4.6,64.3704,-1.55,-1.4469962,0.0,0.0,0.0,0.0,1.0,1011.6,1011.84906,40.5,25.0,30.0,0.0,0.08195553,0.30301362,25.338476,38.511585,337.44272,339.1931,47.88,4.7,4.05,4.35,9.5,0.714,0.719,0.702,0.692,N9
2007-01-20,5726,52.38939895541962,4.835510910175403,10,True,12.795,0.15,1938.749,29.0,2.0,0.0,293.0,1.0,41.0,1.0,51.0,16.0,0.0,45.0,2.0,33.0,4.0,51.0,256.0,0.0,11.1805,84.87697,8.7305,4.393962,0.5,0.5,0.0,0.0,53.0,1006.4,1006.03723,100.0,100.0,100.0,15.0,0.053948406,0.2012223,44.25511,65.05649,248.02544,249.25833,78.479996,10.0305,9.2805,9.330501,11.6805,0.643,0.646,0.644,0.583,N10
2011-07-12,2883,52.22183138785185,4.770660870317084,23,True,9.0,0.706,1974.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.287001,89.22737,12.537001,10.11171,2.0,2.0,0.0,0.0,61.0,1012.7,1012.82056,100.0,68.0,100.0,84.0,0.021912053,0.17561543,34.09373,50.206768,21.689133,22.3355,56.519997,16.187,18.087,15.737,12.287001,0.386,0.245,0.264,0.355,N11
2020-02-10,14808,52.31192147794205,5.050695133341644,16,True,14.25,0.0,1975.333,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.2675004,72.07353,2.5674999,-0.8532424,0.1,0.1,0.0,0.0,51.0,994.8,994.4364,100.0,44.0,89.0,99.0,0.075419776,0.28559107,44.068764,66.33092,233.97253,234.49838,70.92,7.4675,7.1175003,7.4675,10.2675,0.723,0.727,0.682,0.627,N12
2020-12-27,12753,52.21282237884284,5.00353146799014,0,True,14.009,0.0,1977.67,4.0,2.0,4.0,2.0,34.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,44.0,0.0,5.837,81.63432,2.937,-1.6602316,0.0,0.0,0.0,0.0,3.0,1000.4,1000.4,100.0,100.0,100.0,100.0,0.03249403,0.17022431,40.257275,61.141735,195.03049,197.47487,73.439995,5.337,5.637,8.437,12.187,0.704,0.703,0.674,0.607,N13
2022-02-18,9843,52.37498454100519,4.9327859699628815,18,True,11.014,0.15,1872.389,0.0,0.0,1.0,2.0,0.0,3.0,4.0,0.0,0.0,12.0,0.0,69.0,4.0,5.0,8.0,5.0,0.0,6.948,65.61429,0.948,-3.0787172,0.0,0.0,0.0,0.0,1.0,988.8,988.07666,23.4,14.0,18.0,0.0,0.08269172,0.34403795,55.222168,82.98761,259.86224,261.51846,90.72,7.798,7.698,7.398,9.848,0.725,0.723,0.691,0.648,N14
2022-02-21,3698,52.33894850496912,4.788347244823899,9,True,10.621,0.7,1796.154,0.0,2.0,2.0,0.0,0.0,9.0,12.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,6.0,0.0,4.4805,79.433136,1.2305,-3.6358337,2.6,1.3999999,0.84000003,0.0,75.0,992.9,992.7778,100.0,100.0,100.0,100.0,0.05114716,0.17346531,42.44032,67.01126,235.36626,237.50522,72.72,5.1305003,6.8805003,7.6305003,9.830501,0.744,0.742,0.717,0.68,N15
2017-09-13,7600,52.38759715361782,4.87972684644244,12,True,11.16,0.316,1952.832,14.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,42.0,0.0,10.0,0.0,15.054501,69.67126,9.554501,8.88012,0.1,0.1,0.0,0.0,51.0,996.9,996.1913,43.2,20.0,42.0,0.0,0.22885017,0.5195575,41.587402,62.612057,253.91827,255.00487,88.2,15.4045,14.554501,15.3545,13.8545,0.7,0.681,0.5,0.602,N16
2022-02-18,8789,52.277687243707774,4.90920413728713,21,True,17.738,0.819,1849.429,7.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,30.0,0.0,2.0,0.0,6.413,57.02916,-1.487,-2.637063,0.0,0.0,0.0,0.0,1.0,995.7,996.065,29.7,7.0,39.0,0.0,0.09453084,0.41440952,45.99273,66.7254,251.28131,252.7381,79.56,7.163,7.963,7.463,9.813,0.725,0.729,0.705,0.679,N17
2021-03-11,14959,52.35876832478895,5.053642862426113,10,True,10.579,0.355,1987.744,25.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.787001,68.33678,5.187,1.366971,0.0,0.0,0.0,0.0,3.0,990.2,990.2,100.0,81.0,83.0,0.0,0.1668208,0.41048008,56.521145,83.37711,232.76509,233.42688,117.0,8.487,5.737,6.587,9.287001,0.685,0.66,0.668,0.654,N18
2020-02-09,3350,52.38759715361782,4.779504057570492,16,True,9.3,0.4,2006.2,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.337001,78.52624,7.737,2.9413018,0.6,0.6,0.0,0.0,53.0,987.5,987.3815,100.0,100.0,100.0,93.0,0.07607808,0.28870726,53.538425,83.65721,209.84036,211.09055,97.56,8.837001,6.537,7.437,10.287001,0.682,0.679,0.686,0.653,N19
2023-07-05,5534,52.268678234698754,4.832563181090935,12,True,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.5065,85.51751,12.106501,10.156469,0.4,0.4,0.0,0.0,51.0,1008.6,1009.0791,100.0,12.0,100.0,100.0,0.12901168,0.23946917,34.32671,52.085667,260.34018,261.2539,63.72,14.2065,15.6565,16.5565,12.6565,0.396,0.285,0.268,0.369,N20
2023-07-05,4228,52.39300255902323,4.800138161161775,12,True,3.794,0.0,1178.353,0.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.661,90.65747,12.161,9.648092,0.1,0.1,0.0,0.0,51.0,1008.1,1007.4998,100.0,25.0,100.0,100.0,0.07917586,0.14625108,32.136932,50.911686,260.32672,261.87,64.439995,13.411,16.211,15.961,10.761001,0.703,0.498,0.547,0.666,N21
2009-05-26,6723,52.38399355001421,4.859092742851156,7,True,13.479,0.0,1547.46,5.0,4.0,1.0,24.0,1.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,18.411001,89.26334,16.611,16.746199,0.1,0.1,0.0,0.0,51.0,1005.9,1005.31085,84.90001,76.0,3.0,49.0,0.10897405,0.22746098,27.276978,39.299404,202.50357,204.92174,35.64,17.111,15.811001,11.861,8.561001,0.543,0.534,0.578,0.658,N22
2022-02-18,3010,52.22543499145546,4.773608599401553,16,True,9.15,0.219,1951.54,0.0,0.0,0.0,4.0,0.0,35.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.9935,64.44971,2.6435,-0.91956043,0.0,0.0,0.0,0.0,0.0,986.3,986.5391,5.4,4.0,3.0,0.0,0.11693048,0.40874988,56.45461,85.17709,232.25313,233.4206,108.0,8.4935,7.8435,7.2435,7.7435,0.42,0.423,0.411,0.403,N23
2007-06-09,10325,52.34255210857271,4.944576886300758,14,True,8.509,0.0,1999.246,12.0,0.0,0.0,2.0,2.0,0.0,5.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,0.0,21.130499,78.181465,17.1805,21.940035,0.0,0.0,0.0,0.0,3.0,1017.2,1017.0818,84.9,82.0,13.0,11.0,0.32728013,0.5470052,12.144331,15.542662,258.0239,256.60748,20.519999,22.8305,18.780499,14.3805,10.9305,0.578,0.547,0.542,0.633,N24
2012-04-28,5088,52.36597553199617,4.820772264753058,15,True,9.742,0.405,1978.656,1.0,21.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,9.5435,85.862045,7.2935004,4.914776,0.0,0.0,0.0,0.0,3.0,1013.1,1012.97754,100.0,95.0,60.0,100.0,0.084925875,0.1686709,26.959166,36.158054,34.114517,35.272507,48.6,10.3435,10.0435,8.5435,7.9935,0.649,0.642,0.571,0.597,N25
2009-09-03,8485,52.40561517163585,4.900360950033722,15,True,14.833,0.0,1981.667,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,16.587,69.04863,10.887,10.99156,0.0,0.0,0.0,0.0,1.0,997.8,997.6825,28.8,5.0,25.0,31.0,0.20929891,0.584705,40.25727,58.604855,242.28928,242.96281,83.159996,16.786999,16.737,16.286999,12.287001,0.592,0.473,0.495,0.625,N26
2022-02-18,5407,52.265074631095146,4.829615452006465,16,True,5.816,0.0,2007.483,2.0,2.0,1.0,0.0,6.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,8.962999,65.8281,2.913,-0.753212,0.0,0.0,0.0,0.0,0.0,985.8,986.3968,13.8,10.0,8.0,0.0,0.11294389,0.39209366,55.44467,84.74999,232.38597,233.8115,108.72,8.563,7.913,7.313,7.813,0.419,0.421,0.412,0.401,N27
