,Date,grid_id,LAT,LON,Unnamed: 0,Hour,has_tree,avg_height,avg_diameter,avg_year,Fraxinus,Salix,Alnus,Quercus,Tilia,Acer,Populus,Betula,Prunus,Platanus,Malus,Robinia,Crataegus,Ulmus,Carpinus,Overig,Onbekend,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
0,2022-11-15,7798,52.30291246893303,5.009426926159078,0,10,False,,,,,,,,,,,,,,,,,,,,,10.987,88.06673,9.087001,7.805504,0.0,0.0,0.0,0.0,1.0,1005.9,1005.9,38.100002,9.0,0.0,100.0,0.07298632,0.15675461,20.188908,31.319998,176.93358,180.0,33.48,9.287001,8.537001,12.137,13.637,0.646,0.621,0.519,0.6
1,2023-07-05,1381,52.394804360825034,4.788347244823899,2,9,False,,,,,,,,,,,,,,,,,,,,,13.637,79.66277,10.187,6.033043,2.5,2.5,0.0,0.0,63.0,1001.4,1001.28076,100.0,87.0,100.0,100.0,0.08459939,0.317899,52.620377,82.45257,267.2551,268.99933,104.76,13.237,16.487,15.987,10.787001,0.727,0.509,0.547,0.666
2,2020-07-05,7837,52.37318273920339,5.009426926159078,3,8,False,,,,,,,,,,,,,,,,,,,,,17.2435,88.60184,15.3435,13.83881,0.4,0.4,0.0,0.0,51.0,1007.9,1008.01874,91.2,100.0,2.0,0.0,0.07836672,0.22440624,35.71265,53.73535,232.78348,234.81921,65.520004,16.6935,17.0935,15.6935,10.9435,0.434,0.358,0.47,0.629
3,2008-09-11,5669,52.28129084731138,4.923942782709474,6,10,False,,,,,,,,,,,,,,,,,,,,,22.05,78.56216,18.15,22.709826,0.0,0.0,0.0,0.0,0.0,1010.8,1011.0337,8.7,1.0,13.0,0.0,0.28586838,0.5684631,15.9134655,21.096123,142.35231,143.32556,30.599998,19.85,16.75,15.55,13.1,0.604,0.599,0.54,0.605
4,2023-07-05,4448,52.31011967614025,4.8826745755269085,7,8,False,,,,,,,,,,,,,,,,,,,,,13.2565,81.494934,10.1565,5.29558,6.7,6.7,0.0,0.0,63.0,999.3,999.65753,100.0,94.0,100.0,94.0,0.07764923,0.28218734,55.00819,85.362526,255.59995,258.07404,103.32,13.2065,16.6565,16.0065,10.856501,0.747,0.456,0.538,0.661
5,2023-11-02,6278,52.29930886532942,4.947524615385228,10,16,False,,,,,,,,,,,,,,,,,,,,,10.2,77.55016,6.45,2.2702885,0.3,0.3,0.0,0.0,51.0,969.5,969.61664,100.0,100.0,100.0,50.0,0.07191263,0.27987194,48.22522,73.7798,192.06487,193.83286,82.799995,10.1,11.25,12.8,13.95,0.751,0.744,0.718,0.635
6,2023-07-05,6425,52.42183138785209,4.950472344469697,11,14,False,,,,,,,,,,,,,,,,,,,,,15.643499,80.47227,12.2935,11.8961315,0.3,0.3,0.0,0.0,51.0,1010.3,1010.4197,100.0,100.0,25.0,5.0,0.21387096,0.34735382,30.608469,42.853607,271.34784,271.4441,64.439995,15.2435,16.3435,16.1935,10.9935,0.684,0.465,0.533,0.651
7,2023-07-05,2857,52.4200295860503,4.832563181090935,12,14,False,,,,,,,,,,,,,,,,,,,,,15.830501,79.44751,12.2805,12.342247,0.1,0.1,0.0,0.0,51.0,1010.4,1010.16113,77.1,77.0,13.0,0.0,0.21497142,0.36997676,28.802248,41.773964,270.71616,271.4814,57.239998,15.2305,16.130499,15.9805,10.7805,0.683,0.505,0.547,0.666
8,2020-08-26,5023,52.360570126590765,4.900360950033722,14,18,False,,,,,,,,,,,,,,,,,,,,,16.522001,82.18257,13.472,13.637739,0.0,0.0,0.0,0.0,0.0,1013.9,1012.7051,18.0,20.0,0.0,0.0,0.073692545,0.33515835,27.416782,43.801807,293.1986,295.30136,59.039997,16.872002,17.022001,17.622002,12.722,0.646,0.565,0.475,0.625
9,2009-05-26,7031,52.412822378843074,4.974054177145448,15,7,False,,,,,,,,,,,,,,,,,,,,,18.6935,88.43973,16.7435,17.303461,0.0,0.0,0.0,0.0,2.0,1006.0,1006.1179,76.5,66.0,2.0,53.0,0.12133637,0.2492708,25.772078,37.998337,204.77512,205.8367,37.44,17.2435,15.8435,11.8435,8.4435,0.511,0.523,0.579,0.656
10,2023-07-05,4100,52.37318273920339,4.870883659189032,16,11,False,,,,,,,,,,,,,,,,,,,,,13.648,76.27103,9.548,8.040657,0.7,0.7,0.0,0.0,53.0,1006.8,1005.961,100.0,30.0,100.0,100.0,0.10593651,0.3711915,37.688404,59.197838,263.41815,265.81516,70.2,13.198,16.248,15.948,10.748,0.715,0.526,0.547,0.666
11,2023-07-05,2760,52.2452548112753,4.832563181090935,17,11,False,,,,,,,,,,,,,,,,,,,,,13.4935,85.41121,11.0935,8.49613,0.2,0.2,0.0,0.0,51.0,1007.6,1007.8399,100.0,26.0,100.0,100.0,0.087098435,0.22591686,36.58918,55.567257,256.92087,258.03488,69.84,13.643499,15.6935,16.543499,12.643499,0.393,0.257,0.267,0.369
12,2023-07-05,1390,52.41102057704127,4.788347244823899,19,11,False,,,,,,,,,,,,,,,,,,,,,13.7065,76.28051,9.606501,8.115433,0.7,0.7,0.0,0.0,53.0,1006.8,1007.03973,100.0,30.0,100.0,100.0,0.10617216,0.3724544,37.688404,59.197838,263.41815,265.81516,70.2,13.2565,16.3065,16.0065,10.8065,0.715,0.526,0.547,0.666
13,2023-07-05,7427,52.360570126590765,4.9917405516522635,20,11,False,,,,,,,,,,,,,,,,,,,,,13.617499,81.0004,10.4175,8.201964,0.7,0.7,0.0,0.0,53.0,1007.0,1006.64014,100.0,37.0,100.0,100.0,0.09687224,0.2966112,38.0733,57.25811,256.88354,258.76074,68.4,13.2675,16.5175,16.167501,10.867499,0.704,0.439,0.536,0.651
14,2022-02-18,8173,52.403813369834054,5.024165571581422,21,16,False,,,,,,,,,,,,,,,,,,,,,8.85,66.27096,2.9,-0.99076176,0.0,0.0,0.0,0.0,0.0,984.8,985.03876,16.5,11.0,11.0,0.0,0.11119625,0.38407332,56.282173,83.387215,230.71062,232.19003,106.56,8.65,7.7,7.45,9.9,0.73,0.723,0.691,0.648
15,2022-02-18,4426,52.270480036500565,4.8826745755269085,23,17,False,,,,,,,,,,,,,,,,,,,,,7.187,71.040565,2.287,-1.6652141,0.0,0.0,0.0,0.0,1.0,987.2,987.3207,46.5,19.0,49.0,0.0,0.07066769,0.2945289,48.73847,74.54173,247.41264,248.76375,94.67999,8.187,7.937,7.287,7.787,0.418,0.42,0.412,0.401
16,2017-09-13,7443,52.38939895541962,4.9917405516522635,24,10,False,,,,,,,,,,,,,,,,,,,,,14.85,64.645226,8.25,6.4635468,0.0,0.0,0.0,0.0,2.0,994.6,994.8362,50.1,31.0,37.0,0.0,0.22436142,0.59777486,54.363575,78.08764,258.5413,259.10455,92.159996,14.75,14.7,15.6,14.05,0.693,0.636,0.471,0.592
17,2017-10-29,3474,52.26147102749154,4.853197284682216,25,7,False,,,,,,,,,,,,,,,,,,,,,11.8195,49.979057,1.7195001,5.345578,0.0,0.0,0.0,0.0,3.0,1011.8,1012.52795,100.0,93.0,97.0,1.0,0.13554479,0.69435626,31.749468,49.59645,330.81927,332.31903,61.199997,12.4695,13.3195,14.0695,15.1195,0.374,0.374,0.37,0.336
