,Date,grid_id,LAT,LON,Unnamed: 0,Hour,has_tree,avg_height,avg_diameter,avg_year,Fraxinus,Salix,Alnus,Quercus,Tilia,Acer,Populus,Betula,Prunus,Platanus,Malus,Robinia,Crataegus,Ulmus,Carpinus,Overig,Onbekend,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
0,2022-10-22,4017,52.394804360825034,4.867935930104563,2,15,False,,,,,,,,,,,,,,,,,,,,,16.2305,73.22428,11.4305,14.015205,0.0,0.0,0.0,0.0,2.0,1013.0,1012.76074,57.9,31.0,0.0,100.0,0.12170906,0.49447572,18.218275,29.024128,240.39565,240.2552,40.32,15.580501,13.1305,12.9805,13.6805,0.611,0.601,0.505,0.607
1,2023-06-18,5026,52.36597553199617,4.900360950033722,5,18,False,,,,,,,,,,,,,,,,,,,,,20.65,74.46803,15.95,20.740206,0.0,0.0,0.0,0.0,2.0,1010.3,1010.53485,53.700005,11.0,23.0,100.0,0.122289754,0.62154984,13.37825,22.862123,113.80595,116.16151,32.760002,21.95,19.7,15.0,10.1,0.345,0.438,0.567,0.669
2,2022-08-06,8716,52.391200757221426,5.059538320595051,7,6,True,10.731,0.15,1995.262,2.0,,17.0,,,4.0,,,16.0,5.0,1.0,,,37.0,,40.0,,14.137,79.20466,10.587001,13.041878,0.0,0.0,0.0,0.0,0.0,1027.5,1027.5,10.799999,6.0,9.0,0.0,0.06073116,0.33576465,8.78872,15.192682,304.9921,323.67307,14.759999,13.237,19.087,17.036999,12.037001,0.268,0.373,0.472,0.624
3,2022-06-16,7427,52.360570126590765,4.9917405516522635,8,15,False,,,,,,,,,,,,,,,,,,,,,21.9675,49.98945,11.0675,22.432337,0.0,0.0,0.0,0.0,1.0,1023.8,1023.4447,26.1,1.0,0.0,84.0,0.4315872,1.3200827,5.0142193,6.151683,68.96242,69.44387,20.16,23.9675,16.9675,13.5175,10.0175,0.477,0.54,0.52,0.647
4,2022-05-07,4944,52.37678634280699,4.897413220949254,11,20,False,,,,,,,,,,,,,,,,,,,,,11.565499,84.91924,9.1154995,8.915782,0.0,0.0,0.0,0.0,1.0,1026.6,1025.123,46.5,37.0,22.0,0.0,0.02982841,0.20583212,16.595179,29.308508,24.34109,27.824009,30.599998,15.2155,13.6154995,10.1154995,9.0155,0.48,0.488,0.558,0.673
5,2022-07-06,519,52.41642598244668,4.752974495810269,14,21,False,,,,,,,,,,,,,,,,,,,,,17.2565,86.35465,14.9565,16.162605,0.0,0.0,0.0,0.0,3.0,1021.4,1021.2797,95.100006,39.0,100.0,0.0,0.018547328,0.26887608,18.847641,30.10685,241.47697,243.7414,31.68,17.1565,17.3065,15.9565,12.4065,0.255,0.269,0.269,0.358
6,2023-10-22,4841,52.35336291938354,4.894465491864784,15,15,False,,,,,,,,,,,,,,,,,,,,,13.7415,67.54964,7.8415003,10.798347,0.0,0.0,0.0,0.0,2.0,1007.7,1006.86053,65.7,40.0,0.0,99.0,0.10933602,0.5107415,16.327497,25.49908,255.96373,256.94473,34.56,13.4415,12.7415,14.1414995,13.9915,0.719,0.716,0.616,0.628
7,2022-05-24,8118,52.29930886532942,5.024165571581422,17,12,False,,,,,,,,,,,,,,,,,,,,,14.856501,66.87234,8.7565,11.166867,0.0,0.0,0.0,0.0,0.0,1005.2,1005.4387,14.1,13.0,4.0,0.0,0.29584715,0.56034374,25.38702,34.494312,251.82188,251.75404,49.32,15.6565,14.5565,12.606501,9.356501,0.654,0.572,0.546,0.666
8,2022-03-24,6040,52.41102057704127,4.935733699047351,19,14,False,,,,,,,,,,,,,,,,,,,,,15.2415,57.854813,6.9915004,13.235548,0.9,0.9,0.0,0.0,53.0,1029.8,1028.9464,75.3,17.0,100.0,0.0,0.2387278,0.73076844,8.473393,10.239453,12.26477,10.124612,18.72,14.7415,8.9915,7.8415003,9.1414995,0.511,0.551,0.625,0.667
9,2022-11-23,8211,52.349759315779934,5.027113300665892,20,7,True,10.22,0.575,1975.217,3.0,2.0,11.0,4.0,13.0,24.0,,2.0,14.0,7.0,,2.0,5.0,8.0,,11.0,,6.987,93.99834,6.087,3.2785625,0.0,0.0,0.0,0.0,2.0,995.3,995.3,77.7,77.0,14.0,0.0,0.0,0.060207784,18.709612,32.343952,191.09369,196.82149,31.68,6.187,6.537,10.537001,13.537001,0.675,0.671,0.551,0.599
