,Date,grid_id,LAT,LON,Hour,has_tree,avg_height,avg_diameter,avg_year,Fraxinus,Salix,Alnus,Quercus,Tilia,Acer,Populus,Betula,Prunus,Platanus,Malus,Robinia,Crataegus,Ulmus,Carpinus,Overig,Onbekend,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
0,2022-02-21,12087,52.364173730194366,4.9858450934833245,12,True,10.46,0.75,1217.173,15.0,12.0,0.0,0.0,6.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,6.0,0.0,8.111,76.94922,4.311,0.33262253,0.7,0.7,0.0,0.0,53.0,993.1,992.61755,7.7999997,2.0,9.0,2.0,0.08051217,0.24967003,44.014324,68.53439,285.17297,288.05435,78.84,5.811,6.561,7.461,9.761001,0.759,0.748,0.714,0.665
1,2017-09-13,11203,52.34795751397813,4.965210989892042,15,True,14.0,0.443,1813.671,2.0,0.0,0.0,0.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,5.0,6.0,16.224,53.710144,6.824,10.127729,0.2,0.2,0.0,0.0,51.0,998.4,998.1642,36.0,18.0,33.0,0.0,0.25605196,0.8546511,36.247547,53.614624,254.44536,255.21722,76.32,16.024,14.724,15.474,13.974,0.682,0.659,0.48,0.6
2,2023-11-02,10334,52.35876832478895,4.944576886300758,17,True,10.077,0.325,1984.441,0.0,9.0,2.0,0.0,39.0,2.0,0.0,0.0,3.0,41.0,0.0,6.0,0.0,0.0,0.0,34.0,0.0,10.061001,76.7308,6.161,2.0565648,0.1,0.1,0.0,0.0,51.0,970.2,969.73206,100.0,100.0,100.0,100.0,0.059674323,0.2874074,48.284306,73.03742,194.2435,196.02304,83.159996,9.911,11.211,12.761001,13.961,0.736,0.727,0.68,0.621
3,2022-11-17,2512,52.22903859505906,4.761817683063677,2,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.356501,88.90887,8.606501,4.592819,1.3,1.3,0.0,0.0,61.0,984.3,984.7743,100.0,91.0,100.0,90.0,0.019970343,0.13971162,37.017033,58.07504,130.66165,132.99045,67.67999,9.5065,10.1565,11.5065,14.5565,0.426,0.394,0.338,0.33
4,2023-07-05,12193,52.32993949596009,4.988792822567794,11,True,7.355,0.176,2006.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,13.65,81.00475,10.45,8.243976,0.7,0.7,0.0,0.0,53.0,1007.0,1007.2398,100.0,37.0,100.0,100.0,0.09699268,0.29716957,38.0733,57.25811,256.88354,258.76074,68.4,13.3,16.55,16.2,10.9,0.704,0.439,0.536,0.651
5,2023-07-05,11858,52.40201156803226,4.979949635314387,11,True,8.73,0.249,1984.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0,0.0,0.0,13.7,78.089874,9.95,7.956111,1.1,1.1,0.0,0.0,55.0,1006.5,1006.7397,100.0,20.0,100.0,100.0,0.10197287,0.3438928,39.399857,59.668846,257.86868,261.67444,73.079994,13.25,16.55,16.2,11.0,0.71,0.448,0.533,0.651
6,2009-05-26,9628,52.21282237884284,4.929838240878413,6,True,13.183,0.372,1934.352,1.0,13.0,0.0,4.0,8.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,9.0,6.0,0.0,16.9065,95.3437,16.1565,16.47624,0.8,0.8,0.0,0.0,53.0,1006.5,1006.8557,56.699997,34.0,0.0,87.0,0.034353614,0.08973479,17.533146,29.620802,199.17911,200.63763,23.759998,16.3065,16.1065,12.2565,8.5565,0.444,0.413,0.447,0.519
7,2022-02-18,7272,52.24705661307711,4.873831388273501,17,True,12.547,0.275,1978.017,9.0,3.0,17.0,2.0,45.0,10.0,6.0,8.0,2.0,0.0,0.0,1.0,1.0,11.0,0.0,5.0,0.0,7.2194996,71.046936,2.3195,-1.6269097,0.0,0.0,0.0,0.0,1.0,987.2,987.92206,46.5,19.0,49.0,0.0,0.07077611,0.29511935,48.73847,74.54173,247.41264,248.76375,94.67999,8.2195,7.9694996,7.3195,7.8195,0.418,0.42,0.412,0.401
8,2022-02-20,1305,52.30651607253664,4.732340392218986,12,True,11.192,0.342,1993.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8325,89.086044,7.1324997,1.8189449,0.7,0.7,0.0,0.0,53.0,1002.5,1003.10754,100.0,100.0,100.0,100.0,0.040327955,0.12412381,43.045227,67.23909,237.63908,238.35236,72.72,7.7825,6.5325,7.3325,8.0325,0.422,0.423,0.411,0.399
9,2013-02-02,7757,52.220029586050046,4.885622304611378,15,True,11.808,0.0,1967.507,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,6.0,0.0,0.0,0.0,37.0,0.0,4.5195,64.82626,-1.5304999,-1.1052725,0.0,0.0,0.0,0.0,1.0,1011.7,1012.32263,40.2,26.0,28.0,0.0,0.07856033,0.2974587,22.461807,35.309376,338.36905,339.71735,45.0,4.6695,3.9195,3.9195,8.2695,0.567,0.571,0.558,0.553
