grid_id,has_tree,avg_height,avg_diameter,avg_year,Fraxinus,Salix,Alnus,Quercus,Tilia,Acer,Populus,Betula,Prunus,Platanus,Malus,Robinia,Crataegus,Ulmus,Carpinus,Overig,Onbekend,Incident_ID,Service_Area,Date,Hour,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
1488,False,,,,,,,,,,,,,,,,,,,,,P415149,GBA,2022-11-15,10,10.5695,87.73259,8.6195,6.8796997,0.0,0.0,0.0,0.0,1.0,1005.4,1005.521,22.81957,173.6599,39.239998,9.2695,8.7695,11.7695,14.669499,0.381,0.381,0.382,0.334
1617,False,,,,,,,,,,,,,,,,,,,,,P433325,GBA,2023-07-05,9,14.0565,77.88342,10.2565,5.726551,2.6,2.6,0.0,0.0,63.0,1001.9,1001.7807,57.735962,273.9328,116.64,13.5565,16.1065,16.6065,12.6565,0.418,0.287,0.262,0.368
1617,False,,,,,,,,,,,,,,,,,,,,,P434055,GBA,2023-07-05,9,14.0565,77.88342,10.2565,5.726551,2.6,2.6,0.0,0.0,63.0,1001.9,1001.7807,57.735962,273.9328,116.64,13.5565,16.1065,16.6065,12.6565,0.418,0.287,0.262,0.368
1738,False,,,,,,,,,,,,,,,,,,,,,P350874,GBA,2020-07-05,8,17.2695,87.755005,15.2195,12.719437,0.1,0.1,0.0,0.0,51.0,1007.9,1008.01874,43.237484,235.51598,76.32,16.619501,16.5695,16.1695,12.3695,0.301,0.219,0.237,0.352
2483,False,,,,,,,,,,,,,,,,,,,,,P433141,GBA,2023-07-05,8,13.487,81.79734,10.437,4.876993,8.6,8.6,0.0,0.0,65.0,998.0,997.88116,60.017513,257.88126,108.72,13.387,16.637,15.987,10.787001,0.723,0.5,0.547,0.666
2483,False,,,,,,,,,,,,,,,,,,,,,P433871,GBA,2023-07-05,8,13.487,81.79734,10.437,4.876993,8.6,8.6,0.0,0.0,65.0,998.0,997.88116,60.017513,257.88126,108.72,13.387,16.637,15.987,10.787001,0.723,0.5,0.547,0.666
2612,False,,,,,,,,,,,,,,,,,,,,,P72851,GBA,2008-09-11,10,21.780499,79.267456,18.030499,22.00866,0.0,0.0,0.0,0.0,0.0,1010.6,1010.2489,18.504139,142.90709,30.599998,19.8305,16.8305,15.7305,13.5305,0.569,0.567,0.51,0.563
2732,False,,,,,,,,,,,,,,,,,,,,,P433121,GBA,2023-07-05,8,13.4935,81.79818,10.4435,4.885395,8.6,8.6,0.0,0.0,65.0,998.0,998.0,60.017513,257.88126,108.72,13.393499,16.6435,15.9935,10.7935,0.723,0.5,0.547,0.666
2732,False,,,,,,,,,,,,,,,,,,,,,P433851,GBA,2023-07-05,8,13.4935,81.79818,10.4435,4.885395,8.6,8.6,0.0,0.0,65.0,998.0,998.0,60.017513,257.88126,108.72,13.393499,16.6435,15.9935,10.7935,0.723,0.5,0.547,0.666
2968,True,14.333,0.363,1895.45,,,12.0,,,4.0,,,,,,,1.0,1.0,,1.0,1.0,P1578,Osdorp,2018-09-21,21,12.75,75.35597,8.5,7.7125387,0.5,0.5,0.0,0.0,53.0,1011.4,1011.5211,31.845251,264.1606,65.520004,14.1,17.2,16.0,13.9,0.581,0.497,0.465,0.619
2979,False,,,,,,,,,,,,,,,,,,,,,P443436,GBA,2023-11-02,16,9.7,80.18917,6.45,2.1405835,0.3,0.3,0.0,0.0,51.0,968.4,968.51715,45.685966,192.28394,80.64,9.8,11.1,12.7,13.95,0.756,0.755,0.733,0.65
