Date,grid_id,LAT,LON,Hour,has_tree,avg_height,avg_diameter,avg_year,Fraxinus,Salix,Alnus,Quercus,Tilia,Acer,Populus,Betula,Prunus,Platanus,Malus,Robinia,Crataegus,Ulmus,Carpinus,Overig,Onbekend,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
2022-02-21,49435,52.39636018018034,4.923311601175943,12,True,21.5,,1970.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0065,75.86079,4.0065,0.19353437,0.3,0.3,0.0,0.0,51.0,993.0,993.24146,28.199999,27.0,5.0,3.0,0.08182881,0.2596107,43.832863,69.65884,289.1791,291.52655,81.72,6.0565,6.7064996,7.6064997,9.8065,0.757,0.745,0.718,0.682
2023-11-02,42216,52.3774412612614,4.868713098543891,17,True,12.3,,1959.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.737,79.37057,6.337,2.3202448,0.1,0.1,0.0,0.0,51.0,969.3,969.18304,100.0,100.0,100.0,100.0,0.048900835,0.24933618,44.52954,69.87432,194.03627,195.53998,78.479996,9.537001,11.087001,12.687,13.937,0.752,0.754,0.733,0.65
2022-11-17,34292,52.35672054054065,4.7831262565801325,2,True,7.938,0.212,1116.259,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,0.0,10.25,89.5037,8.6,4.585888,1.9,1.9,0.0,0.0,61.0,984.6,984.83746,100.0,100.0,100.0,84.0,0.01796411,0.13128269,36.322556,57.946583,129.3693,130.71703,75.24,9.25,9.95,11.95,13.6,0.746,0.649,0.557,0.605
2017-09-13,39511,52.37023405405417,4.914457789938312,15,True,10.5,,2008.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.211,54.26206,6.961,10.39084,0.0,0.0,0.0,0.0,1.0,998.4,997.92883,21.6,10.0,21.0,0.0,0.25180832,0.84375906,34.57687,52.214897,255.52966,256.44278,77.03999,16.011,14.661,15.311001,13.761001,0.698,0.689,0.534,0.61
2023-07-05,13809,52.30266648648653,4.837724759212184,11,True,13.5,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5935,81.26768,10.4435,8.300191,0.4,0.4,0.0,0.0,51.0,1007.2,1007.3199,100.0,35.0,100.0,100.0,0.09603762,0.2919824,37.28738,57.123276,259.9921,261.6657,70.92,13.1935,16.3435,15.9935,10.8435,0.708,0.493,0.538,0.661
2023-07-05,18663,52.31527909909915,4.935116682826116,11,True,7.5,0.15,2010.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6045,80.998665,10.4045,8.185166,0.7,0.7,0.0,0.0,53.0,1007.0,1006.4005,100.0,37.0,100.0,100.0,0.09682406,0.29638803,38.0733,57.25811,256.88354,258.76074,68.4,13.2545,16.5045,16.154501,10.8545,0.704,0.439,0.536,0.651
2009-05-26,29205,52.34320702702712,4.846578570449815,6,True,11.656,0.432,1791.476,0.0,0.0,0.0,0.0,0.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.624,95.638794,15.924,15.900732,0.5,0.5,0.0,0.0,53.0,1006.3,1006.0626,72.3,52.0,1.0,83.0,0.034932833,0.08255768,18.899143,30.21642,197.74477,201.67471,22.319998,16.124,15.924,12.324,8.674,0.398,0.367,0.391,0.462
2022-02-18,46254,52.38825207207222,4.771321174929958,17,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.437,70.586174,2.437,-1.8386164,0.3,0.3,0.0,0.0,51.0,986.2,986.0799,48.3,33.0,31.0,0.0,0.074767806,0.3043046,51.82625,82.31414,249.67677,250.85176,102.6,8.187,7.887,7.537,9.837001,0.732,0.727,0.702,0.681
2022-02-20,19700,52.31798180180186,4.951348670095106,12,True,13.625,0.214,1815.688,1.0,5.0,3.0,17.0,1.0,2.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,6.0,2.0,0.0,9.174,87.9048,7.274,2.705668,1.3,1.3,0.0,0.0,61.0,1002.7,1002.4575,100.0,100.0,100.0,100.0,0.045185488,0.14076054,39.541046,61.55579,236.88864,238.63403,66.24,7.824,6.474,7.474,9.774,0.737,0.731,0.7,0.664
2013-02-02,27814,52.33960342342352,4.812638960705566,15,True,14.588,,1995.057,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.5805,64.36587,-1.5695,-1.7754025,0.0,0.0,0.0,0.0,1.0,1012.1,1011.97534,44.1,29.0,30.0,0.0,0.08340184,0.30263937,27.438046,39.389984,340.85178,341.89615,46.44,4.5805,3.8805,3.7805,7.7805004,0.501,0.504,0.493,0.496
2007-01-20,33598,52.354918738738846,4.768369904517416,10,True,9.667,0.15,2011.182,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.212999,84.88054,8.763,4.8532696,0.4,0.4,0.0,0.0,51.0,1007.4,1007.64246,100.0,100.0,100.0,24.0,0.053137135,0.20160806,41.38747,61.226463,244.77238,245.69547,74.159996,10.063,9.313,9.363,11.712999,0.643,0.646,0.644,0.583
2020-02-10,12570,52.29906288288292,5.028081700821234,16,True,9.5,0.3,1669.417,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,7.25,69.799194,2.1,-1.5038462,0.0,0.0,0.0,0.0,3.0,995.1,995.22095,100.0,59.0,96.0,99.0,0.08261588,0.3084802,47.83667,71.494225,235.11388,235.66972,76.67999,7.8,7.25,7.5,10.25,0.72,0.725,0.684,0.629
2011-07-12,48362,52.39365747747763,4.853956746481174,23,True,7.5,,2002.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,14.2305,88.930626,12.4305,9.869364,1.6,1.6,0.0,0.0,61.0,1013.2,1012.9591,100.0,24.0,100.0,83.0,0.023391746,0.17979622,35.127216,50.412853,24.200975,24.917995,57.239998,16.2305,17.9305,14.7305,10.1805,0.528,0.443,0.495,0.626
2020-12-27,40806,52.37383765765778,4.806736419880479,0,True,17.975,,1969.7,0.0,0.0,1.0,0.0,24.0,7.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.2675004,82.851746,3.5674999,-0.97244835,0.0,0.0,0.0,0.0,3.0,998.8,998.3117,100.0,100.0,100.0,100.0,0.03009305,0.16373491,39.31259,61.93674,195.94547,197.59251,71.64,5.4175,5.7175,8.2675,12.0175,0.71,0.712,0.699,0.619
2022-02-18,50119,52.39816198198215,4.923311601175943,18,True,8.5,,1995.61,3.0,0.0,2.0,2.0,2.0,11.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,5.0,1.0,8.0,0.0,6.974,66.0937,1.074,-2.4629092,0.0,0.0,0.0,0.0,1.0,989.0,988.6382,21.900002,15.0,14.0,0.0,0.07909386,0.33984673,51.31989,79.26951,261.52893,261.90677,102.6,7.774,7.874,7.524,9.824,0.729,0.727,0.702,0.681
