,grid_id,has_tree,avg_height,avg_diameter,avg_year,Fraxinus,Salix,Alnus,Quercus,Tilia,Acer,Populus,Betula,Prunus,Platanus,Malus,Robinia,Crataegus,Ulmus,Carpinus,Overig,Onbekend,Incident_ID,Service_Area,Date,Hour,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm
0,7127,True,10.5,0.4,1984.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394418,Weesp,2022-02-21,12,8.2435,76.970634,4.4435,0.35314322,0.7,0.7,0.0,0.0,53.0,993.5,993.5,44.96687,284.37003,78.12,5.7935004,6.6935,7.4935,9.6935,0.758,0.748,0.726,0.682
1,7744,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443450,Anton,2023-11-02,17,10.2435,75.44858,6.0935,2.3629527,0.1,0.1,0.0,0.0,51.0,970.5,970.5,47.33007,194.98761,82.439995,9.8435,11.2435,12.7935,13.9435,0.746,0.744,0.718,0.635
2,7811,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415280,Weesp,2022-11-17,2,10.3435,88.6075,8.5435,4.5006027,1.3,1.3,0.0,0.0,61.0,984.8,984.8,37.446922,127.971664,65.88,9.2435,9.893499,11.8435,13.5435,0.741,0.649,0.558,0.608
3,8052,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283204,Anton,2017-09-13,15,16.2045,54.82075,7.1045003,10.290183,0.0,0.0,0.0,0.0,1.0,998.6,997.8929,35.457714,254.6938,75.24,15.9545,14.6545,15.3545,13.804501,0.683,0.658,0.502,0.605
4,8773,True,12.0,0.0,2004.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433549,Anton,2023-07-05,11,13.537001,86.26903,11.287001,8.472247,0.4,0.4,0.0,0.0,51.0,1007.4,1007.2801,37.457306,256.0973,66.96,13.387,16.387,15.987,10.837001,0.688,0.434,0.538,0.66
5,8773,True,12.0,0.0,2004.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434279,Anton,2023-07-05,11,13.537001,86.26903,11.287001,8.472247,0.4,0.4,0.0,0.0,51.0,1007.4,1007.2801,37.457306,256.0973,66.96,13.387,16.387,15.987,10.837001,0.688,0.434,0.538,0.66
6,9099,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82564,Anton,2009-05-26,6,16.780499,95.64395,16.0805,16.319456,0.8,0.8,0.0,0.0,53.0,1006.5,1006.26294,17.533146,199.17911,23.759998,16.1805,15.830501,11.830501,8.3805,0.544,0.532,0.579,0.657
7,9111,True,10.333,0.0,2004.8,9.0,0.0,6.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,393446,Anton,2022-02-18,17,7.6435003,69.13753,2.3435,-1.7727671,0.0,0.0,0.0,0.0,2.0,987.2,987.2,52.675762,245.36162,100.079994,8.5435,7.9935,7.4435,9.7935,0.733,0.73,0.705,0.679
8,9111,True,10.333,0.0,2004.8,9.0,0.0,6.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,394178,Anton,2022-02-20,12,9.143499,87.90205,7.2435,2.5951014,1.3,1.3,0.0,0.0,61.0,1003.0,1003.0,40.03938,236.73856,65.520004,7.9935,6.5935,7.4935,9.7435,0.741,0.739,0.711,0.68
9,9459,True,8.679,0.0,2004.214,2.0,1.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,134781,Anton,2013-02-02,15,4.5435004,64.1212,-1.6565,-1.0987871,0.0,0.0,0.0,0.0,1.0,1011.7,1011.7,22.461807,338.36905,45.0,4.7435,4.0435004,4.3435,9.4935,0.716,0.721,0.703,0.694
